@relation ICATransformed

@attribute attr1 numeric
@attribute attr2 numeric
@attribute Cluster0 numeric
@attribute Cluster1 numeric
@attribute Cluster2 numeric
@attribute Cluster3 numeric
@attribute Cluster4 numeric
@attribute Cluster5 numeric
@attribute output {1,2,3,4,5,7}

@data
-0.637682,-0.077312,0,1,0,0,0,0,3
-0.040656,-0.247727,0,0,0,0,0,1,3
0.027449,-0.097687,0,0,0,0,0,1,3
0.358663,-0.025901,0,0,0,0,0,1,3
0.382955,0.020203,0,0,0,0,0,1,3
0.08334,-0.338742,0,0,0,0,0,1,3
0.025734,0.401471,0,1,0,0,0,0,3
0.178715,0.189102,0,1,0,0,0,0,3
0.152595,0.02257,0,0,0,0,0,1,4
-0.174786,-0.045326,0,1,0,0,0,0,4
0.248914,-0.02606,0,0,0,0,0,1,4
0.070451,0.449701,0,1,0,0,0,0,4
0.323196,0.308226,0,0,0,0,0,1,4
0.20548,0.329839,0,1,0,0,0,0,4
-0.217054,0.01042,0,1,0,0,0,0,4
0.376074,0.140313,0,0,0,0,0,1,4
-0.142549,-0.092596,0,1,0,0,0,0,4
-0.34585,-0.681488,0,0,0,0,0,1,4
-0.04465,0.018707,0,1,0,0,0,0,3
-0.131413,0.219424,0,1,0,0,0,0,3
0.645921,0.371241,0,0,0,0,0,1,3
-0.327479,0.169401,0,1,0,0,0,0,3
-0.45694,-0.182871,0,1,0,0,0,0,3
-0.068994,0.040109,0,1,0,0,0,0,3
0.297879,0.290664,0,0,0,0,0,1,3
0.291722,0.34415,0,1,0,0,0,0,3
-0.128995,-0.114047,0,1,0,0,0,0,3
-0.007223,-0.021876,0,1,0,0,0,0,3
-0.131736,0.048078,0,1,0,0,0,0,3
-0.131634,-0.125827,0,1,0,0,0,0,3
0.158951,-0.244969,0,0,0,0,0,1,3
0.074206,0.039046,0,1,0,0,0,0,3
0.079447,-0.406627,0,0,0,0,0,1,3
-0.317381,-0.028258,0,1,0,0,0,0,3
0.13075,-0.109079,0,0,0,0,0,1,3
0.012803,-0.169731,0,0,0,0,0,1,3
0.065447,0.043666,0,1,0,0,0,0,3
0.160818,0.291279,0,1,0,0,0,0,3
-0.05894,-0.152114,0,1,0,0,0,0,3
0.069233,-0.053207,0,0,0,0,0,1,3
0.082671,0.284207,0,1,0,0,0,0,3
0.115544,-0.027755,0,0,0,0,0,1,3
0.237508,-0.023672,0,0,0,0,0,1,3
1.566118,-1.077235,0,0,0,0,0,1,5
0.820756,-0.372372,0,0,0,0,0,1,5
-0.729048,1.490585,0,1,0,0,0,0,5
-0.601177,0.670042,0,1,0,0,0,0,7
-0.602308,-0.135985,0,1,0,0,0,0,7
-0.066723,0.205293,0,1,0,0,0,0,7
0.203709,-0.114363,0,0,0,0,0,1,7
0.924768,-1.135476,0,0,0,0,0,1,5
0.584436,-0.239518,0,0,0,0,0,1,5
-0.501969,0.446253,0,1,0,0,0,0,5
0.238793,-0.094268,0,0,0,0,0,1,5
-0.225169,-0.171539,0,1,0,0,0,0,3
-0.215102,-0.009512,0,1,0,0,0,0,3
-0.25252,-0.171725,0,1,0,0,0,0,3
-0.466232,-0.000824,0,1,0,0,0,0,3
0.05716,0.112657,0,1,0,0,0,0,3
0.181022,0.450242,0,1,0,0,0,0,3
-0.037608,0.286944,0,1,0,0,0,0,3
-0.326818,0.25567,0,1,0,0,0,0,3
-0.131481,-0.210616,0,1,0,0,0,0,3
0.182327,0.030827,0,0,0,0,0,1,4
-0.082197,0.273483,0,1,0,0,0,0,4
-0.038164,0.403225,0,1,0,0,0,0,4
0.137539,0.343829,0,1,0,0,0,0,4
0.180268,0.312614,0,1,0,0,0,0,4
0.096406,-0.04381,0,0,0,0,0,1,4
-0.143104,0.224368,0,1,0,0,0,0,4
0.326372,-0.840375,0,0,0,0,0,1,4
-0.092336,-2.004256,0,0,0,0,0,1,4
-3.371547,-4.360011,0,0,1,0,0,0,4
-3.932359,-3.794935,0,0,0,0,1,0,3
-1.5251,-1.997078,0,1,0,0,0,0,3
0.125994,0.271147,0,1,0,0,0,0,3
0.358569,-0.044442,0,0,0,0,0,1,3
-0.051661,0.002464,0,1,0,0,0,0,3
-0.148352,0.278303,0,1,0,0,0,0,3
0.147084,0.228858,0,1,0,0,0,0,3
-0.131926,0.013413,0,1,0,0,0,0,3
-0.160203,0.24688,0,1,0,0,0,0,3
0.415319,0.03464,0,0,0,0,0,1,3
-0.433,-0.253358,0,1,0,0,0,0,3
-0.076808,0.041557,0,1,0,0,0,0,3
-0.205878,-0.007537,0,1,0,0,0,0,3
0.352987,-0.13301,0,0,0,0,0,1,3
0.064891,-0.124923,0,0,0,0,0,1,3
-0.301648,-0.005786,0,1,0,0,0,0,3
0.134543,-0.044951,0,0,0,0,0,1,3
-0.077709,-0.009625,0,1,0,0,0,0,3
0.062745,0.31678,0,1,0,0,0,0,3
0.206263,0.321438,0,1,0,0,0,0,3
-0.065393,0.259597,0,1,0,0,0,0,3
0.112113,-0.227554,0,0,0,0,0,1,3
-0.595204,0.114173,0,1,0,0,0,0,3
0.269286,-0.12429,0,0,0,0,0,1,3
0.179162,0.190693,0,1,0,0,0,0,3
-0.108266,0.059198,0,1,0,0,0,0,3
0.151905,-0.03239,0,0,0,0,0,1,3
0.180016,0.128361,0,0,0,0,0,1,3
-0.337601,0.384698,0,1,0,0,0,0,3
0.335554,-0.124234,0,0,0,0,0,1,3
1.161473,0.582363,0,0,0,0,0,1,3
-0.169195,0.570105,0,1,0,0,0,0,3
0.024747,-0.006833,0,1,0,0,0,0,7
