@relation ICATransformed

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute Cluster0 numeric
@attribute Cluster1 numeric
@attribute Cluster2 numeric
@attribute Cluster3 numeric
@attribute Cluster4 numeric
@attribute Cluster5 numeric
@attribute output {1,2,3,4,5,7}

@data
-0.592829,-0.558167,-0.992496,0.506006,-0.439129,1,0,0,0,0,0,3
-0.322553,0.734029,0.208204,0.076242,0.120736,0,0,0,0,0,1,3
-0.073108,0.560887,0.136411,0.044556,-0.310688,0,0,0,0,0,1,3
0.458084,0.277099,0.539245,-0.192118,0.26118,0,0,0,0,0,1,3
0.512446,0.241474,0.716035,-0.155377,0.89018,0,0,0,0,0,1,3
0.591257,-1.080549,-0.131188,-0.675779,0.314631,1,0,0,0,0,0,3
0.301918,0.449103,0.307115,0.246046,0.386751,0,0,0,0,0,1,3
-0.074724,0.089503,0.21159,0.375804,0.04162,0,0,0,0,0,1,3
0.167092,0.417087,0.502117,0.256802,0.85102,0,0,0,0,0,1,4
0.556965,-0.237408,-0.283049,-0.341157,-0.160474,1,0,0,0,0,0,4
0.45129,0.15956,0.284469,-0.617819,-0.229787,1,0,0,0,0,0,4
0.172173,0.308173,0.089098,0.08526,-0.383752,1,0,0,0,0,0,4
0.049533,-0.024365,0.419843,0.583655,0.391119,0,0,0,0,0,1,4
0.017894,-0.153816,0.12496,0.247845,-0.20574,1,0,0,0,0,0,4
-0.153287,-0.831354,-0.78268,0.095746,-1.102183,1,0,0,0,0,0,4
-0.777544,0.811643,0.762906,0.438026,0.283162,0,0,0,0,0,1,4
-1.868085,-0.967229,-0.429391,0.980474,-0.139652,1,0,0,0,0,0,4
-1.779584,-0.111561,-0.453805,0.675233,-0.452586,1,0,0,0,0,0,4
-0.657255,-0.221893,-0.196629,0.560147,-0.371743,1,0,0,0,0,0,3
0.406663,0.099304,-0.158693,0.041085,-0.236951,1,0,0,0,0,0,3
-0.046303,0.498935,1.113467,0.459807,1.049135,0,0,0,0,0,1,3
-0.18062,-0.205735,-0.245928,0.856752,0.770563,0,0,0,0,0,1,3
0.214598,-0.266704,-0.604073,-0.273001,-0.153258,1,0,0,0,0,0,3
-0.185298,0.119434,-0.08225,0.223145,-0.360873,1,0,0,0,0,0,3
-0.06368,0.528486,0.265845,0.315936,-0.706074,1,0,0,0,0,0,3
-0.324109,0.100836,0.465239,0.884204,0.480228,0,0,0,0,0,1,3
-0.070916,-0.785205,-0.42675,0.274913,-0.115313,1,0,0,0,0,0,3
0.31518,0.397708,0.238817,-0.181001,0.468398,0,0,0,0,0,1,3
0.335384,-0.108016,-0.075852,-0.12555,0.279673,1,0,0,0,0,0,3
0.034877,-0.397785,-0.319259,-0.290367,-0.210711,1,0,0,0,0,0,3
0.171446,0.40014,0.393088,-0.230447,0.390618,0,0,0,0,0,1,3
-0.202054,0.589632,0.476859,0.401121,0.747848,0,0,0,0,0,1,3
0.510191,-0.101689,0.012628,-0.341077,0.04906,1,0,0,0,0,0,3
-0.152825,-0.939902,-0.69417,0.0815,-0.321303,1,0,0,0,0,0,3
0.224079,0.98623,0.622343,-0.001569,0.746422,0,0,0,0,0,1,3
0.0795,-0.138852,0.048324,-0.384826,0.27504,1,0,0,0,0,0,3
0.605423,0.436263,0.282256,-0.552707,0.205123,0,0,0,0,0,1,3
-0.129925,0.090853,0.233881,0.353382,0.038911,0,0,0,0,0,1,3
0.11292,-0.359193,-0.203734,-0.032136,-0.045302,1,0,0,0,0,0,3
0.602733,0.358408,0.130193,-0.32753,0.059249,0,0,0,0,0,1,3
0.660663,0.140932,0.220807,-0.360084,0.317149,0,0,0,0,0,1,3
-0.17534,-0.172788,-0.016289,0.143334,-0.235075,1,0,0,0,0,0,3
-0.2679,-0.113076,0.123594,0.052248,-0.279441,1,0,0,0,0,0,3
0.629495,-0.16107,1.553717,-1.234992,-0.197994,0,0,0,0,0,1,5
1.981935,-1.372623,0.380903,-1.988639,-0.220625,1,0,0,0,0,0,5
1.539434,0.053055,-0.425784,0.337101,1.343916,0,0,0,0,0,1,5
0.864737,-0.694274,-0.729647,0.303937,0.367398,1,0,0,0,0,0,7
0.404696,-0.555604,-0.892331,-0.537033,-0.301705,1,0,0,0,0,0,7
-0.630108,-0.349343,-0.328026,0.335362,-0.642565,1,0,0,0,0,0,7
-1.406879,0.151328,0.384937,0.886073,0.315306,0,0,0,0,0,1,7
-0.931857,-0.406261,0.515393,-0.577574,-1.499962,1,0,0,0,0,0,5
-0.266335,-0.107924,0.620843,-0.268074,0.110722,0,0,0,0,0,1,5
-0.296569,0.02383,-0.628215,0.668838,-0.229945,1,0,0,0,0,0,5
-0.878821,-0.145413,0.159662,0.6883,-0.120484,1,0,0,0,0,0,5
0.550117,-0.417404,-0.350688,-0.388694,0.223189,1,0,0,0,0,0,3
0.212845,0.150174,-0.173173,-0.488372,0.1721,1,0,0,0,0,0,3
-0.626733,-0.585362,-0.509993,-0.004646,-0.386421,1,0,0,0,0,0,3
-0.503428,0.090377,-0.543674,0.25742,-0.54109,1,0,0,0,0,0,3
-0.147281,0.9098,0.180398,0.467332,-0.664229,0,0,0,0,0,1,3
0.057851,-0.333056,0.170853,0.593108,0.201909,1,0,0,0,0,0,3
-0.011433,-0.128743,-0.048426,0.542843,0.238561,1,0,0,0,0,0,3
-0.477449,-0.270485,-0.417298,0.501053,-0.096458,1,0,0,0,0,0,3
-0.46277,-0.170561,-0.275362,0.291229,-0.41505,1,0,0,0,0,0,3
0.251506,-0.493947,0.131592,0.093144,0.424885,1,0,0,0,0,0,4
0.150356,0.195039,-0.099739,0.116753,-0.287559,1,0,0,0,0,0,4
0.099011,0.190241,-0.01458,0.446131,-0.120043,1,0,0,0,0,0,4
-0.104217,0.190943,0.163287,0.54238,-0.368342,1,0,0,0,0,0,4
0.313903,-0.382643,0.028676,0.339124,-0.16846,1,0,0,0,0,0,4
0.059735,0.409044,0.295475,0.024563,0.216442,0,0,0,0,0,1,4
-0.176599,-0.098714,-0.200284,0.165316,-0.236909,1,0,0,0,0,0,4
-2.766573,-0.636696,0.411006,0.306287,0.55103,1,0,0,0,0,0,4
-5.398109,-1.130324,-0.248917,0.709774,-0.042753,0,0,1,0,0,0,4
-8.458848,1.587538,-3.043351,0.350232,-0.522705,0,0,1,0,0,0,4
-4.71603,5.246466,-3.104256,0.322306,-1.782207,0,0,1,0,0,0,3
-0.304355,8.205299,0.692684,-0.80352,-0.038924,0,0,0,0,0,1,3
-0.284147,0.685781,0.526252,0.69296,0.72255,0,0,0,0,0,1,3
-0.231328,0.414837,0.552951,0.191168,0.069412,0,0,0,0,0,1,3
0.229244,-0.13316,-0.201038,0.071486,-0.263621,1,0,0,0,0,0,3
0.668698,0.359435,-0.00807,-0.056157,0.188442,0,0,0,0,0,1,3
0.226892,0.339437,0.420385,0.066913,0.531592,0,0,0,0,0,1,3
0.186694,-0.711055,-0.431841,-0.164265,-0.221663,1,0,0,0,0,0,3
0.16791,0.109743,-0.230751,-0.096033,-0.447022,1,0,0,0,0,0,3
-0.581033,0.3324,0.800499,0.506443,0.780481,0,0,0,0,0,1,3
-0.199542,-0.930029,-0.94557,0.169844,-0.61157,1,0,0,0,0,0,3
-0.026007,1.064121,0.371841,-0.119028,0.410115,0,0,0,0,0,1,3
-0.155062,-0.204016,-0.442359,0.165806,-0.504996,1,0,0,0,0,0,3
-0.300158,0.497353,0.606883,0.049798,0.133504,0,0,0,0,0,1,3
-0.165228,-0.405588,-0.115955,-0.099063,-0.208667,1,0,0,0,0,0,3
-0.302489,0.080601,-0.429924,0.478885,-0.425061,1,0,0,0,0,0,3
-0.101434,0.758704,0.399004,0.184138,-0.001553,0,0,0,0,0,1,3
0.351039,-0.247726,-0.152884,-0.04297,0.000593,1,0,0,0,0,0,3
0.217276,0.35229,-0.002593,-0.018737,-0.577277,1,0,0,0,0,0,3
-0.002427,-0.16,0.305257,0.299096,0.351004,0,0,0,0,0,1,3
-0.146669,0.364218,-0.002346,0.085799,-0.329662,1,0,0,0,0,0,3
-0.174242,-0.384607,-0.051829,-0.042426,-0.10453,1,0,0,0,0,0,3
-0.062457,-0.312179,-0.85506,-0.022641,-0.486171,1,0,0,0,0,0,3
-0.449163,0.743532,0.565045,0.285767,0.097456,0,0,0,0,0,1,3
-0.070022,0.01465,0.255797,0.480914,0.271494,0,0,0,0,0,1,3
-0.076863,-0.370662,-0.26235,0.226223,-0.258865,1,0,0,0,0,0,3
0.13763,0.140404,0.176753,-0.064427,-0.122013,1,0,0,0,0,0,3
0.014222,0.049583,0.194625,-0.030657,-0.086204,1,0,0,0,0,0,3
-0.221404,-0.260072,-0.549693,0.406165,-0.460663,1,0,0,0,0,0,3
0.103208,0.251008,0.515139,-0.21541,0.234171,0,0,0,0,0,1,3
0.765228,0.377963,0.859966,-0.210712,-1.936952,1,0,0,0,0,0,3
-0.453093,-0.117404,-0.310929,1.296925,-0.278643,1,0,0,0,0,0,3
-0.534342,0.044968,-0.107452,0.641695,-0.466306,1,0,0,0,0,0,7
-0.021957,0.274863,0.312687,0.25078,-0.102845,0,0,0,0,0,1,7
-0.046562,-0.40301,-0.447872,0.218752,-0.019883,1,0,0,0,0,0,7
0.434836,-0.379463,0.116816,-0.907057,-0.121538,1,0,0,0,0,0,7
0.508571,-0.730452,0.472972,-1.440281,-0.307879,1,0,0,0,0,0,5
1.039212,-0.836434,0.249109,-1.42242,-1.009201,1,0,0,0,0,0,5
0.815637,-0.303748,1.032326,-0.750802,0.96284,0,0,0,0,0,1,5
0.015325,-1.13349,-0.192631,0.061251,0.584629,1,0,0,0,0,0,5
-0.374481,-0.79561,-0.290105,-0.390704,-0.006736,1,0,0,0,0,0,5
-0.467911,-0.49499,-0.126312,-0.64878,-0.151353,1,0,0,0,0,0,5
-0.077721,0.093492,-0.331573,0.105033,-0.387325,1,0,0,0,0,0,3
-0.281846,0.254114,0.420431,-0.033563,-0.310046,0,0,0,0,0,1,3
-0.759223,0.09998,0.531085,0.327035,0.655082,0,0,0,0,0,1,3
0.296238,0.878819,0.381539,-0.363273,0.162428,0,0,0,0,0,1,3
0.621174,0.222269,0.078797,-0.571905,0.772522,0,0,0,0,0,1,3
0.121509,-0.57494,-0.931541,-0.172824,-0.553783,1,0,0,0,0,0,3
-0.468878,0.066458,0.134869,0.090047,-0.183416,1,0,0,0,0,0,3
-0.490735,0.116545,0.05215,0.286852,-0.123552,1,0,0,0,0,0,3
0.596089,0.022767,-0.415266,-0.488317,-0.348095,1,0,0,0,0,0,3
0.438292,0.549438,0.118439,-0.166457,0.431964,0,0,0,0,0,1,4
-0.053068,-0.258072,-0.4588,0.515528,-0.188165,1,0,0,0,0,0,4
0.381354,0.144148,0.371114,0.113832,0.017011,0,0,0,0,0,1,4
0.430953,0.222508,0.288335,0.313915,0.490674,0,0,0,0,0,1,4
0.254286,0.120963,-0.233903,0.155665,-0.591881,1,0,0,0,0,0,4
-0.834912,-0.180249,-0.261467,0.725977,0.022724,1,0,0,0,0,0,4
-0.11289,1.103398,0.87948,-0.033725,0.4749,0,0,0,0,0,1,4
-0.055639,-0.737893,-0.199826,-0.174434,-0.004361,1,0,0,0,0,0,4
-7.368223,1.115252,0.252561,-2.234805,0.219044,0,0,1,0,0,0,2
-4.314726,1.771058,1.077333,-5.300435,1.267614,0,0,1,0,0,0,2
-1.474343,1.528588,1.51547,-7.098158,3.783439,0,0,1,0,0,0,2
1.471406,4.500151,-6.032995,-3.05607,-0.782962,0,0,0,1,0,0,2
0.356623,7.764338,0.492705,-0.074912,0.744191,0,0,0,0,0,1,3
-0.038726,1.340041,0.284289,0.248607,0.227677,0,0,0,0,0,1,3
-0.309271,0.144802,0.066598,0.000657,0.089998,1,0,0,0,0,0,3
-0.359796,-0.114422,-0.143004,0.090579,0.385394,1,0,0,0,0,0,3
-0.090058,0.393264,0.327469,-0.231499,-0.034881,0,0,0,0,0,1,3
0.273151,0.246787,0.016984,-0.03045,-0.062493,1,0,0,0,0,0,3
0.255457,0.127659,0.061435,-0.013415,-0.12243,1,0,0,0,0,0,3
-0.111533,-0.124186,-0.237106,0.4324,0.015601,1,0,0,0,0,0,3
-0.237524,0.264187,-0.086323,0.603827,-0.444145,1,0,0,0,0,0,3
-0.194048,0.187993,0.423204,0.326425,0.1942,0,0,0,0,0,1,3
-0.297835,-0.363379,-0.122337,0.389821,0.359155,1,0,0,0,0,0,3
0.27199,-0.180802,-0.246834,-0.193534,-0.6062,1,0,0,0,0,0,3
0.170164,0.551781,1.025782,-0.500116,0.986769,0,0,0,0,0,1,3
-0.215327,-1.155079,-1.060516,0.154291,-0.185889,1,0,0,0,0,0,3
0.172575,0.643844,0.022129,-0.160111,0.042365,0,0,0,0,0,1,3
0.620489,0.282249,0.854502,-0.321119,0.71454,0,0,0,0,0,1,3
0.534936,-0.449969,0.038236,-0.246621,0.3497,1,0,0,0,0,0,3
0.573884,-0.551946,-0.324627,-0.486063,0.258286,1,0,0,0,0,0,3
0.486641,-0.036246,-0.30843,-0.192972,-0.312153,1,0,0,0,0,0,3
0.029364,-0.068214,0.113766,0.085277,0.072624,1,0,0,0,0,0,3
-0.16738,0.102703,-0.040942,0.194331,-0.085797,1,0,0,0,0,0,3
-0.064963,0.244646,0.151494,0.023439,0.080265,0,0,0,0,0,1,3
0.025941,0.101123,0.177727,0.0246,0.177878,0,0,0,0,0,1,3
0.22965,-0.096888,-0.126778,-0.027208,0.453642,1,0,0,0,0,0,3
0.006882,-0.041119,-0.27853,-0.229979,-0.800111,1,0,0,0,0,0,3
0.016198,-0.213841,0.589575,-0.338064,0.562158,0,0,0,0,0,1,3
0.154344,0.097852,-0.117387,-0.03716,0.475931,0,0,0,0,0,1,3
0.1742,-0.182697,-0.469107,-0.321571,-0.515006,1,0,0,0,0,0,3
0.403528,0.222268,0.155868,-0.122081,0.574596,0,0,0,0,0,1,3
-0.228887,0.079136,-0.472115,0.31472,-0.157923,1,0,0,0,0,0,3
-0.203348,0.138919,-0.259992,0.056351,-0.497224,1,0,0,0,0,0,3
-0.413855,0.500279,0.551765,0.146932,0.31157,0,0,0,0,0,1,3
0.134577,-0.140167,-0.175688,0.103165,0.398019,1,0,0,0,0,0,3
0.057304,-0.11412,0.034841,-0.247748,-0.302019,1,0,0,0,0,0,3
0.034413,0.228331,0.212861,0.014925,-0.175291,1,0,0,0,0,0,3
-0.403043,-0.607,-0.247291,0.377541,-0.241447,1,0,0,0,0,0,3
-0.439624,0.056151,-0.424632,0.677572,-1.560832,1,0,0,0,0,0,3
0.240598,-0.197181,0.355475,0.785569,0.957195,0,0,0,0,0,1,3
0.591469,-0.181836,-0.11915,-0.154088,0.330661,1,0,0,0,0,0,3
0.739815,0.585306,0.476486,-0.382125,0.382358,0,0,0,0,0,1,3
0.673228,-0.522668,0.035118,-0.520035,0.073975,1,0,0,0,0,0,3
0.290422,-0.40786,-0.145352,-0.23273,-0.381952,1,0,0,0,0,0,7
0.029226,-0.094938,0.319994,0.14574,0.536631,0,0,0,0,0,1,7
-0.043102,-0.066306,0.409753,0.236999,-0.638512,1,0,0,0,0,0,7
0.672048,-0.595349,-0.013956,0.006863,-1.339335,1,0,0,0,0,0,5
1.115043,0.389929,0.923337,0.245465,-0.469455,0,0,0,0,0,1,5
0.925677,-0.520921,0.854068,0.602497,-0.158019,1,0,0,0,0,0,5
1.116182,-0.943004,0.826139,0.324273,0.29097,1,0,0,0,0,0,5
1.201643,-0.99554,0.554199,-0.324821,-0.097607,1,0,0,0,0,0,5
0.677622,-1.346202,0.801946,-0.660734,0.459414,1,0,0,0,0,0,5
-0.14058,0.049911,-0.245759,0.098347,0.044374,1,0,0,0,0,0,3
