@relation IPCATransformed

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute Cluster0 numeric
@attribute Cluster1 numeric
@attribute Cluster2 numeric
@attribute Cluster3 numeric
@attribute Cluster4 numeric
@attribute Cluster5 numeric
@attribute output {1,2,3,4,5,7}

@data
-2.858848,-4.172168,1.868262,1.130641,0.753609,-4.271497,0.614141,3.992461,-1.516482,1.369649,-0.387343,2.441084,-4.566997,2.094419,0.44815,0,1,0,0,0,0,3
3.120025,-1.845538,1.131254,-1.504335,-0.309883,5.454461,-1.824836,-3.556485,0.732758,3.695505,0.864922,-1.101521,-1.063322,3.131311,0.062069,0,1,0,0,0,0,3
-2.383371,3.139509,1.639361,-0.773359,1.495644,-0.101847,-0.515673,2.258587,0.275843,1.202551,1.249654,-3.576746,2.815201,-0.172434,-2.906104,0,0,0,0,0,1,3
-0.311234,-1.841459,-5.581692,-4.453488,1.069964,-2.230488,1.091808,-0.999325,0.082888,-1.66311,0.783978,1.505834,-1.067452,-0.451387,0.28409,1,0,0,0,0,0,3
2.508822,1.72922,1.202789,-0.238625,0.040898,-0.922946,0.982855,0.129597,-0.409807,-2.890801,-0.867321,5.597494,-0.090034,0.216687,1.564281,1,0,0,0,0,0,3
-1.807307,-1.797196,0.240062,3.0185,-1.620881,0.512718,0.27815,-2.153796,-0.885571,-1.590569,-1.549265,2.728526,2.674852,4.085894,2.801882,0,0,1,0,0,0,3
-0.584387,1.284874,2.045643,-2.375641,3.385783,-1.419571,0.833121,-3.962218,0.278528,-2.330908,2.117324,-1.645249,1.193638,3.842905,-1.083999,0,1,0,0,0,0,3
2.02196,-2.538676,-0.404189,1.427211,-2.333305,-1.007251,0.586703,2.516901,1.612969,-2.715729,2.935424,-3.123033,2.894816,0.881329,-1.631009,0,0,1,0,0,0,3
-0.545604,-2.511346,0.810596,-0.056954,3.006479,4.858344,-0.838852,1.964843,3.488224,0.144628,3.621439,-0.245962,0.930895,3.314347,0.754765,0,0,1,0,0,0,4
1.094575,1.456764,1.000558,-3.773788,-3.703736,-1.277656,-6.740582,0.088784,1.584906,-0.646617,-1.606528,2.011039,-1.09883,1.96079,-0.36764,0,0,0,1,0,0,4
0.275434,2.370742,-0.134767,1.92226,0.939294,0.658199,6.015735,-2.97762,0.361295,-1.855251,-5.275152,-1.495564,-2.713314,1.175332,0.120431,0,0,0,1,0,0,4
