@relation IPCATransformed

@attribute attr1 numeric
@attribute attr2 numeric
@attribute Cluster0 numeric
@attribute Cluster1 numeric
@attribute Cluster2 numeric
@attribute Cluster3 numeric
@attribute Cluster4 numeric
@attribute Cluster5 numeric
@attribute output {1,2,3,4,5,7}

@data
-2.858848,-4.172168,0,0,1,0,0,0,3
3.120025,-1.845538,0,0,0,0,1,0,3
-2.383371,3.139509,1,0,0,0,0,0,3
-0.311234,-1.841459,0,0,1,0,0,0,3
2.508822,1.72922,0,0,0,0,0,1,3
-1.807307,-1.797196,0,0,1,0,0,0,3
-0.584387,1.284874,1,0,0,0,0,0,3
2.02196,-2.538676,0,0,0,0,1,0,3
-0.545604,-2.511346,0,0,1,0,0,0,4
1.094575,1.456764,0,0,0,0,0,1,4
0.275434,2.370742,1,0,0,0,0,0,4
-0.26341,1.354435,1,0,0,0,0,0,4
0.411996,-3.10477,0,0,1,0,0,0,4
1.608518,-0.042569,0,0,0,0,1,0,4
0.167273,0.10726,0,0,0,1,0,0,4
2.870291,0.462874,0,0,0,0,0,1,4
-3.453227,0.873691,0,1,0,0,0,0,4
-0.978038,-2.941064,0,0,1,0,0,0,4
0.788787,2.502991,0,0,0,0,0,1,3
0.317294,0.83259,0,0,0,1,0,0,3
1.884494,0.533085,0,0,0,0,0,1,3
0.420756,1.273121,0,0,0,1,0,0,3
-1.574779,-0.867949,0,1,0,0,0,0,3
3.420819,1.232602,0,0,0,0,0,1,3
4.707997,0.969027,0,0,0,0,0,1,3
3.208325,0.463398,0,0,0,0,0,1,3
-0.681149,-1.066771,0,0,1,0,0,0,3
0.723799,-0.184304,0,0,0,1,0,0,3
-0.813239,-0.285238,0,0,0,1,0,0,3
1.800695,-2.9484,0,0,0,0,1,0,3
1.058841,4.169057,0,0,0,0,0,1,3
-1.025808,1.945437,1,0,0,0,0,0,3
-0.702349,-0.010677,0,0,0,1,0,0,3
3.407585,0.446035,0,0,0,0,0,1,3
-5.828585,-3.713766,0,1,0,0,0,0,3
6.068774,2.549751,0,0,0,0,0,1,3
3.069484,-3.114036,0,0,0,0,1,0,3
1.363176,1.356951,0,0,0,0,0,1,3
2.025207,0.78189,0,0,0,0,0,1,3
-1.170667,-3.482975,0,0,1,0,0,0,3
1.640926,3.555581,0,0,0,0,0,1,3
1.056107,-0.540516,0,0,0,0,1,0,3
-0.171607,-0.142125,0,0,0,1,0,0,3
1.44086,-0.415014,0,0,0,0,1,0,5
-1.612165,0.427412,0,1,0,0,0,0,5
-3.379033,2.070366,1,0,0,0,0,0,5
0.676805,-0.218215,0,0,0,1,0,0,7
-0.217718,1.335332,0,0,0,1,0,0,7
1.148442,1.178372,0,0,0,0,0,1,7
-2.002455,-1.586775,0,1,0,0,0,0,7
