@relation IPCATransformed

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute Cluster0 numeric
@attribute Cluster1 numeric
@attribute Cluster2 numeric
@attribute Cluster3 numeric
@attribute Cluster4 numeric
@attribute Cluster5 numeric
@attribute output {1,2,3,4,5,7}

@data
-2.858848,-4.172168,1.868262,1.130641,0.753609,-4.271497,0.614141,3.992461,-1.516482,1.369649,-0.387343,2.441084,-4.566997,2.094419,0.44815,0.46106,-1.789498,-0.661217,-1.498452,-1.743283,-5.987588,-0.533857,-0.568723,-9.666215,-3.356938,-4.306451,-1.703115,-3.161318,6.03526,-2.813381,-40.214205,10.280527,0,0,0,1,0,0,3
3.120025,-1.845538,1.131254,-1.504335,-0.309883,5.454461,-1.824836,-3.556485,0.732758,3.695505,0.864922,-1.101521,-1.063322,3.131311,0.062069,3.074158,0.729555,2.914383,-0.748034,-1.766349,2.852598,-3.282074,-1.791593,-1.802347,5.384701,-2.915614,-5.857767,-4.355416,17.528518,-1.870635,-22.02253,4.277133,0,0,0,1,0,0,3
-2.383371,3.139509,1.639361,-0.773359,1.495644,-0.101847,-0.515673,2.258587,0.275843,1.202551,1.249654,-3.576746,2.815201,-0.172434,-2.906104,1.492697,-1.724129,2.925196,1.169505,-0.253148,2.751842,0.959343,-0.968837,-0.920015,7.311408,-0.948661,-2.565755,1.008378,4.915454,0.129588,-5.910083,1.483873,0,0,0,0,1,0,3
-0.311234,-1.841459,-5.581692,-4.453488,1.069964,-2.230488,1.091808,-0.999325,0.082888,-1.66311,0.783978,1.505834,-1.067452,-0.451387,0.28409,0.73764,-1.274375,-0.011671,-3.19974,-0.001208,0.656296,-1.81426,-3.209112,-0.624055,3.690696,1.883342,2.485909,3.198257,-4.089426,0.436815,0.250342,2.698272,1,0,0,0,0,0,3
2.508822,1.72922,1.202789,-0.238625,0.040898,-0.922946,0.982855,0.129597,-0.409807,-2.890801,-0.867321,5.597494,-0.090034,0.216687,1.564281,-3.859382,-4.351304,-4.001317,-0.995285,-3.352066,-1.872522,-5.291568,0.423718,-8.16873,2.579821,5.018333,0.410487,-2.558187,-3.25557,1.296266,8.352051,1.090654,1,0,0,0,0,0,3
-1.807307,-1.797196,0.240062,3.0185,-1.620881,0.512718,0.27815,-2.153796,-0.885571,-1.590569,-1.549265,2.728526,2.674852,4.085894,2.801882,3.136941,-2.491983,-6.767616,-1.788124,-3.296777,-1.326598,0.310353,-2.569989,0.412604,3.315516,8.494352,4.408701,-4.066473,-1.209817,2.974519,13.763772,-0.741264,1,0,0,0,0,0,3
-0.584387,1.284874,2.045643,-2.375641,3.385783,-1.419571,0.833121,-3.962218,0.278528,-2.330908,2.117324,-1.645249,1.193638,3.842905,-1.083999,-0.135094,0.960291,2.09102,0.189275,0.273007,4.071276,-0.488561,-3.731534,-0.444461,4.11695,-1.390968,15.974916,-1.163738,5.519647,-5.516675,-5.376884,4.870592,0,0,0,0,1,0,3
2.02196,-2.538676,-0.404189,1.427211,-2.333305,-1.007251,0.586703,2.516901,1.612969,-2.715729,2.935424,-3.123033,2.894816,0.881329,-1.631009,0.0196,2.772286,1.513618,3.882849,2.451468,1.806926,-3.930797,-4.601769,-2.444143,-5.60401,-1.924198,12.746093,-1.672779,-1.794898,-2.338166,-17.060231,7.495509,0,0,0,0,1,0,3
-0.545604,-2.511346,0.810596,-0.056954,3.006479,4.858344,-0.838852,1.964843,3.488224,0.144628,3.621439,-0.245962,0.930895,3.314347,0.754765,0.1896,0.255061,-0.761901,-1.275108,2.726371,-2.150131,-4.733678,-7.46238,-4.567987,2.662401,0.528024,6.938834,-5.02623,4.673957,-2.664203,0.167708,-2.214416,1,0,0,0,0,0,4
1.094575,1.456764,1.000558,-3.773788,-3.703736,-1.277656,-6.740582,0.088784,1.584906,-0.646617,-1.606528,2.011039,-1.09883,1.96079,-0.36764,5.953554,-2.216044,0.966732,1.698603,4.526399,2.454003,1.158848,-8.001638,0.241839,2.730291,3.891507,8.378453,-0.386976,0.4116,-2.253001,-4.052883,-2.180016,0,0,0,0,1,0,4
