@relation IPCATransformed

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute Cluster0 numeric
@attribute Cluster1 numeric
@attribute Cluster2 numeric
@attribute Cluster3 numeric
@attribute Cluster4 numeric
@attribute Cluster5 numeric
@attribute output {1,2,3,4,5,7}

@data
-2.858848,-4.172168,1.868262,1.130641,0.753609,0,0,0,1,0,0,3
3.120025,-1.845538,1.131254,-1.504335,-0.309883,0,0,1,0,0,0,3
-2.383371,3.139509,1.639361,-0.773359,1.495644,0,0,0,0,0,1,3
-0.311234,-1.841459,-5.581692,-4.453488,1.069964,0,1,0,0,0,0,3
2.508822,1.72922,1.202789,-0.238625,0.040898,0,0,0,0,0,1,3
-1.807307,-1.797196,0.240062,3.0185,-1.620881,1,0,0,0,0,0,3
-0.584387,1.284874,2.045643,-2.375641,3.385783,0,0,0,0,0,1,3
2.02196,-2.538676,-0.404189,1.427211,-2.333305,1,0,0,0,0,0,3
-0.545604,-2.511346,0.810596,-0.056954,3.006479,0,0,0,0,1,0,4
1.094575,1.456764,1.000558,-3.773788,-3.703736,0,0,1,0,0,0,4
0.275434,2.370742,-0.134767,1.92226,0.939294,0,0,0,0,0,1,4
-0.26341,1.354435,-2.827709,-1.258464,4.185936,0,0,0,0,0,1,4
0.411996,-3.10477,2.899403,-2.420765,-0.862766,0,0,1,0,0,0,4
1.608518,-0.042569,-0.635957,0.097667,0.230978,0,0,0,0,0,1,4
0.167273,0.10726,1.088678,-0.577993,2.753976,0,0,0,0,1,0,4
2.870291,0.462874,-1.086208,1.746587,-2.7831,1,0,0,0,0,0,4
-3.453227,0.873691,2.799557,4.192799,2.044042,0,0,0,1,0,0,4
-0.978038,-2.941064,-2.569776,-5.855684,-2.152552,0,1,0,0,0,0,4
0.788787,2.502991,1.503274,0.233626,-0.72074,0,0,0,1,0,0,3
0.317294,0.83259,3.022496,1.040815,3.066364,0,0,0,0,1,0,3
1.884494,0.533085,1.882023,-0.180938,0.85134,0,0,0,0,1,0,3
0.420756,1.273121,-2.468594,1.997591,-2.185595,1,0,0,0,0,0,3
-1.574779,-0.867949,0.128551,-0.944491,0.270982,0,1,0,0,0,0,3
3.420819,1.232602,-2.134989,0.860755,0.085589,0,0,0,0,0,1,3
4.707997,0.969027,0.257418,1.957981,0.258777,0,0,0,0,1,0,3
3.208325,0.463398,1.062912,-1.667808,0.242202,0,0,1,0,0,0,3
-0.681149,-1.066771,2.226429,2.564191,-0.006811,0,0,0,1,0,0,3
0.723799,-0.184304,-0.457668,0.492511,-1.794457,1,0,0,0,0,0,3
-0.813239,-0.285238,-1.25552,-1.735778,1.189767,0,1,0,0,0,0,3
1.800695,-2.9484,-1.674676,-1.960407,0.744066,0,1,0,0,0,0,3
1.058841,4.169057,-1.472518,3.302793,-0.029545,0,0,0,0,0,1,3
-1.025808,1.945437,0.660198,1.103968,-0.209702,0,0,0,1,0,0,3
-0.702349,-0.010677,0.092416,-1.568881,-0.664799,0,1,0,0,0,0,3
3.407585,0.446035,-0.613013,4.134064,1.968796,0,0,0,0,1,0,3
-5.828585,-3.713766,0.626729,-1.067021,-4.232843,0,0,0,1,0,0,3
6.068774,2.549751,2.529985,-2.868737,0.58654,0,0,1,0,0,0,3
3.069484,-3.114036,0.826815,-0.499256,-1.249645,0,0,1,0,0,0,3
1.363176,1.356951,0.632801,0.192948,0.42013,0,0,0,0,0,1,3
2.025207,0.78189,-0.749507,-0.611486,0.38264,0,0,0,0,0,1,3
-1.170667,-3.482975,-1.001238,0.052792,0.046287,0,1,0,0,0,0,3
1.640926,3.555581,1.248742,-1.71295,2.109938,0,0,0,0,0,1,3
1.056107,-0.540516,-0.986564,-0.055097,-1.121227,1,0,0,0,0,0,3
-0.171607,-0.142125,2.852196,1.907156,-0.755238,0,0,0,1,0,0,3
1.44086,-0.415014,0.907405,-4.591812,-4.768978,0,0,1,0,0,0,5
-1.612165,0.427412,-2.205497,-0.281399,3.978863,0,0,0,0,0,1,5
-3.379033,2.070366,-0.295457,1.975567,0.949641,0,0,0,1,0,0,5
0.676805,-0.218215,-1.177451,-1.306889,-2.568168,0,0,1,0,0,0,7
-0.217718,1.335332,2.256922,-1.006951,-0.356821,0,0,0,1,0,0,7
1.148442,1.178372,-0.835139,0.318846,-0.668894,0,0,0,0,0,1,7
-2.002455,-1.586775,1.060569,-0.061518,1.608825,0,1,0,0,0,0,7
0.204245,-3.027271,1.012369,1.518052,1.961321,0,0,0,0,1,0,5
-0.067869,-0.185741,1.095799,-0.282933,-3.089072,0,0,1,0,0,0,5
-0.887545,0.835205,1.576033,0.67774,3.067138,0,0,0,0,1,0,5
-2.148053,-0.629259,0.32101,2.482459,0.346103,0,0,0,1,0,0,5
4.130875,0.11073,2.692309,-5.018418,-1.852982,0,0,1,0,0,0,3
-1.164939,0.397787,3.041005,5.016486,1.013874,0,0,0,1,0,0,3
-0.057355,0.893258,-1.532801,1.802666,-0.937475,1,0,0,0,0,0,3
0.915869,-2.298921,-2.287047,0.564852,-1.854845,1,0,0,0,0,0,3
-3.060554,1.021166,0.550333,-1.943141,1.110013,0,1,0,0,0,0,3
-2.101914,-1.442297,1.31311,-0.226239,-0.835788,0,0,0,1,0,0,3
2.023823,-0.713797,-0.825286,1.689096,1.797305,0,0,0,0,1,0,3
-1.471022,-0.103961,1.251879,0.520951,-1.879523,0,0,0,1,0,0,3
0.027377,1.699079,1.289357,-0.726157,1.391854,0,0,0,0,0,1,3
2.51785,1.05296,0.158028,-1.256087,0.347603,0,0,0,0,0,1,4
1.179701,-1.039117,2.211222,1.400906,-1.199311,0,0,0,1,0,0,4
-0.370525,3.479967,-0.874282,3.247453,-0.150216,0,0,0,0,0,1,4
-1.899266,-1.042935,-0.859442,-2.185242,0.038093,0,1,0,0,0,0,4
0.237423,-2.591529,0.204403,-4.107111,0.750815,0,1,0,0,0,0,4
2.137175,0.704333,1.874054,1.831309,0.799971,0,0,0,0,1,0,4
-2.526149,-0.756032,-3.020962,-1.459945,-1.408143,0,1,0,0,0,0,4
