@relation IPCATransformed

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute Cluster0 numeric
@attribute Cluster1 numeric
@attribute Cluster2 numeric
@attribute Cluster3 numeric
@attribute Cluster4 numeric
@attribute Cluster5 numeric
@attribute output {1,2,3,4,5,7}

@data
-2.858848,-4.172168,1.868262,1.130641,0.753609,-4.271497,0.614141,3.992461,-1.516482,0,0,0,0,0,1,3
3.120025,-1.845538,1.131254,-1.504335,-0.309883,5.454461,-1.824836,-3.556485,0.732758,0,1,0,0,0,0,3
-2.383371,3.139509,1.639361,-0.773359,1.495644,-0.101847,-0.515673,2.258587,0.275843,0,0,0,0,0,1,3
-0.311234,-1.841459,-5.581692,-4.453488,1.069964,-2.230488,1.091808,-0.999325,0.082888,0,0,0,0,0,1,3
2.508822,1.72922,1.202789,-0.238625,0.040898,-0.922946,0.982855,0.129597,-0.409807,0,0,0,0,1,0,3
-1.807307,-1.797196,0.240062,3.0185,-1.620881,0.512718,0.27815,-2.153796,-0.885571,1,0,0,0,0,0,3
-0.584387,1.284874,2.045643,-2.375641,3.385783,-1.419571,0.833121,-3.962218,0.278528,0,0,0,1,0,0,3
2.02196,-2.538676,-0.404189,1.427211,-2.333305,-1.007251,0.586703,2.516901,1.612969,0,0,0,0,1,0,3
-0.545604,-2.511346,0.810596,-0.056954,3.006479,4.858344,-0.838852,1.964843,3.488224,0,1,0,0,0,0,4
1.094575,1.456764,1.000558,-3.773788,-3.703736,-1.277656,-6.740582,0.088784,1.584906,0,0,1,0,0,0,4
0.275434,2.370742,-0.134767,1.92226,0.939294,0.658199,6.015735,-2.97762,0.361295,0,0,0,1,0,0,4
-0.26341,1.354435,-2.827709,-1.258464,4.185936,-0.897895,2.051881,2.462145,-3.404166,0,0,0,0,1,0,4
0.411996,-3.10477,2.899403,-2.420765,-0.862766,-2.784493,-1.042602,-1.08195,-1.083162,1,0,0,0,0,0,4
1.608518,-0.042569,-0.635957,0.097667,0.230978,0.588974,0.398159,-0.863468,1.671446,0,0,0,1,0,0,4
0.167273,0.10726,1.088678,-0.577993,2.753976,0.148542,-1.681805,-2.852635,0.847571,0,1,0,0,0,0,4
2.870291,0.462874,-1.086208,1.746587,-2.7831,-0.856235,1.658644,2.206676,-0.454195,0,0,0,0,1,0,4
-3.453227,0.873691,2.799557,4.192799,2.044042,-1.303095,3.196931,-3.046658,2.577998,0,0,0,1,0,0,4
-0.978038,-2.941064,-2.569776,-5.855684,-2.152552,-4.000422,-0.73507,4.062427,-4.307535,0,0,0,0,1,0,4
0.788787,2.502991,1.503274,0.233626,-0.72074,2.749896,-0.800659,2.242133,-1.413228,0,0,0,0,1,0,3
0.317294,0.83259,3.022496,1.040815,3.066364,0.080935,-1.050252,-6.906905,-1.801513,1,0,0,0,0,0,3
1.884494,0.533085,1.882023,-0.180938,0.85134,-3.544638,-2.855626,2.418318,-1.419092,0,0,0,0,0,1,3
0.420756,1.273121,-2.468594,1.997591,-2.185595,1.407271,0.527985,-4.14364,0.986947,1,0,0,0,0,0,3
-1.574779,-0.867949,0.128551,-0.944491,0.270982,2.785873,3.194035,2.494195,-1.04719,0,0,0,0,1,0,3
3.420819,1.232602,-2.134989,0.860755,0.085589,0.022814,-3.660673,1.807941,-1.802956,0,0,0,0,0,1,3
4.707997,0.969027,0.257418,1.957981,0.258777,-0.221303,-1.252076,4.506229,1.458005,0,0,0,0,0,1,3
3.208325,0.463398,1.062912,-1.667808,0.242202,-1.892187,-0.229216,2.814453,-1.332783,0,0,0,0,1,0,3
-0.681149,-1.066771,2.226429,2.564191,-0.006811,-2.278209,-0.634321,-0.703228,-1.485129,1,0,0,0,0,0,3
0.723799,-0.184304,-0.457668,0.492511,-1.794457,1.831772,3.056519,-2.238583,0.379964,0,0,0,1,0,0,3
-0.813239,-0.285238,-1.25552,-1.735778,1.189767,-1.259325,-1.150336,4.35228,-3.263531,0,0,0,0,1,0,3
1.800695,-2.9484,-1.674676,-1.960407,0.744066,2.741324,0.235076,-1.020619,0.814679,0,1,0,0,0,0,3
1.058841,4.169057,-1.472518,3.302793,-0.029545,1.277191,-1.151587,-2.133077,-0.051288,0,1,0,0,0,0,3
-1.025808,1.945437,0.660198,1.103968,-0.209702,1.805935,-2.832407,3.36166,-0.969282,0,0,0,0,1,0,3
-0.702349,-0.010677,0.092416,-1.568881,-0.664799,1.068603,0.688652,-2.310952,2.087653,0,0,0,1,0,0,3
3.407585,0.446035,-0.613013,4.134064,1.968796,-3.098891,-2.606308,0.664736,-5.471293,1,0,0,0,0,0,3
-5.828585,-3.713766,0.626729,-1.067021,-4.232843,4.607679,-3.619982,-0.530925,1.780352,0,0,1,0,0,0,3
6.068774,2.549751,2.529985,-2.868737,0.58654,4.137227,-2.684426,2.179704,-2.863928,0,1,0,0,0,0,3
3.069484,-3.114036,0.826815,-0.499256,-1.249645,-4.251553,-1.90437,0.628732,1.949871,0,0,0,0,0,1,3
1.363176,1.356951,0.632801,0.192948,0.42013,-0.462881,3.599037,0.847564,-3.143172,0,0,0,0,1,0,3
2.025207,0.78189,-0.749507,-0.611486,0.38264,1.126405,2.47107,3.55991,-2.168879,0,0,0,0,1,0,3
-1.170667,-3.482975,-1.001238,0.052792,0.046287,1.972813,-2.659568,-2.44047,0.208706,0,0,1,0,0,0,3
1.640926,3.555581,1.248742,-1.71295,2.109938,1.532342,-0.724418,-1.594313,0.81173,0,1,0,0,0,0,3
1.056107,-0.540516,-0.986564,-0.055097,-1.121227,1.67919,3.157246,-4.243057,-4.538413,1,0,0,0,0,0,3
-0.171607,-0.142125,2.852196,1.907156,-0.755238,-1.392911,-0.382219,0.478288,-1.596104,1,0,0,0,0,0,3
1.44086,-0.415014,0.907405,-4.591812,-4.768978,3.117501,-0.564845,-0.569859,-0.852999,0,0,1,0,0,0,5
-1.612165,0.427412,-2.205497,-0.281399,3.978863,1.158253,-0.944613,3.523515,0.170165,0,0,0,0,0,1,5
-3.379033,2.070366,-0.295457,1.975567,0.949641,-4.320182,-0.369925,3.555784,-0.252967,0,0,0,0,0,1,5
0.676805,-0.218215,-1.177451,-1.306889,-2.568168,-3.559251,-0.932413,-2.636854,-0.319267,1,0,0,0,0,0,7
-0.217718,1.335332,2.256922,-1.006951,-0.356821,3.669935,2.528433,3.097862,0.697389,0,0,0,0,1,0,7
1.148442,1.178372,-0.835139,0.318846,-0.668894,1.135047,0.5361,1.59067,1.383333,0,0,0,0,1,0,7
-2.002455,-1.586775,1.060569,-0.061518,1.608825,0.439443,-1.438399,-0.381411,-1.405627,0,1,0,0,0,0,7
0.204245,-3.027271,1.012369,1.518052,1.961321,-4.454209,-2.962648,-1.480334,2.172048,0,0,0,0,0,1,5
-0.067869,-0.185741,1.095799,-0.282933,-3.089072,6.017931,4.578781,0.00947,3.881204,0,0,0,1,0,0,5
-0.887545,0.835205,1.576033,0.67774,3.067138,-2.727629,-1.436861,-1.615732,-2.358641,1,0,0,0,0,0,5
-2.148053,-0.629259,0.32101,2.482459,0.346103,0.423015,-1.357711,-0.934408,-0.631106,0,1,0,0,0,0,5
4.130875,0.11073,2.692309,-5.018418,-1.852982,0.021305,-0.359865,2.152509,-2.24075,0,0,0,0,1,0,3
-1.164939,0.397787,3.041005,5.016486,1.013874,-0.761098,1.644388,-3.573345,1.49841,0,0,0,1,0,0,3
-0.057355,0.893258,-1.532801,1.802666,-0.937475,-1.880754,-0.158465,1.659229,2.924466,0,0,0,0,0,1,3
0.915869,-2.298921,-2.287047,0.564852,-1.854845,5.011469,-2.597183,-1.668857,-1.027916,0,1,0,0,0,0,3
-3.060554,1.021166,0.550333,-1.943141,1.110013,2.965395,-2.982782,1.308727,0.543479,0,1,0,0,0,0,3
-2.101914,-1.442297,1.31311,-0.226239,-0.835788,-0.831157,0.520013,0.047176,-3.149682,1,0,0,0,0,0,3
2.023823,-0.713797,-0.825286,1.689096,1.797305,0.662702,-1.593067,-0.33099,0.668781,0,1,0,0,0,0,3
-1.471022,-0.103961,1.251879,0.520951,-1.879523,2.550371,0.024639,-1.128912,3.340844,0,0,1,0,0,0,3
0.027377,1.699079,1.289357,-0.726157,1.391854,-1.894587,2.56897,0.998348,-2.021768,0,0,0,0,1,0,3
2.51785,1.05296,0.158028,-1.256087,0.347603,-0.161623,-1.811943,-1.150695,2.241833,0,0,1,0,0,0,4
1.179701,-1.039117,2.211222,1.400906,-1.199311,1.187075,-2.733145,1.878656,-4.608233,0,0,0,0,1,0,4
-0.370525,3.479967,-0.874282,3.247453,-0.150216,1.233181,-0.162463,-5.064534,2.277888,0,0,0,1,0,0,4
-1.899266,-1.042935,-0.859442,-2.185242,0.038093,-1.605923,2.829578,2.770234,-0.028916,0,0,0,0,1,0,4
0.237423,-2.591529,0.204403,-4.107111,0.750815,-0.19297,-1.827588,1.562703,1.667584,0,0,0,0,0,1,4
2.137175,0.704333,1.874054,1.831309,0.799971,-1.557054,1.566969,-0.27852,1.926483,0,0,0,1,0,0,4
-2.526149,-0.756032,-3.020962,-1.459945,-1.408143,-1.32354,-0.12784,2.600181,1.133832,0,0,0,0,0,1,4
0.498936,1.099672,0.666682,1.650312,-3.522328,0.574801,-0.931622,-1.203998,1.432582,0,0,1,0,0,0,4
-1.969984,-0.667899,0.125774,-1.618241,2.406029,1.137145,1.442916,4.068058,-3.237962,0,0,0,0,1,0,4
-3.030833,0.832412,-0.274253,-0.409936,-2.926042,-1.948498,-2.929753,-0.756482,2.264255,0,0,1,0,0,0,4
3.061229,-0.980487,1.28562,-0.459256,0.820805,0.638841,-0.063561,-4.35086,-2.712582,1,0,0,0,0,0,3
-0.732235,-0.021641,0.000997,0.845996,-1.548375,0.476831,1.249378,2.767238,2.199097,0,0,0,0,1,0,3
0.64776,1.664945,-1.449416,1.785856,-0.705729,0.333179,-0.456991,1.952612,1.215813,0,0,1,0,0,0,3
