@relation PCATransformed

@attribute attr1 numeric
@attribute attr2 numeric
@attribute Cluster0 numeric
@attribute Cluster1 numeric
@attribute Cluster2 numeric
@attribute Cluster3 numeric
@attribute Cluster4 numeric
@attribute Cluster5 numeric
@attribute output {1,2,3,4,5,7}

@data
-122.712561,18.972437,0,0,0,1,0,0,3
-86.424662,-4.162781,0,0,0,1,0,0,3
-67.169902,-14.368329,1,0,0,0,0,0,3
-59.132323,-18.5584,1,0,0,0,0,0,3
-60.902361,-12.81017,1,0,0,0,0,0,3
-66.232547,-5.45443,1,0,0,0,0,0,3
-78.441822,3.298361,0,0,0,1,0,0,3
-64.742067,-7.349212,1,0,0,0,0,0,3
-30.791916,-28.975032,1,0,0,0,0,0,4
-28.020698,-33.583171,1,0,0,0,0,0,4
-23.421535,-34.140588,1,0,0,0,0,0,4
-9.385437,-43.457056,1,0,0,0,0,0,4
-2.613893,-47.105109,0,0,0,0,1,0,4
13.990639,-52.83606,0,0,0,0,1,0,4
20.363947,-55.756255,0,0,0,0,1,0,4
17.972636,-48.546943,0,0,0,0,1,0,4
6.798499,-35.350572,0,0,0,0,1,0,4
-12.70324,-19.460406,1,0,0,0,0,0,4
-75.55899,6.803637,0,0,0,1,0,0,3
-100.471979,8.516141,0,0,0,1,0,0,3
-73.470164,3.754517,0,0,0,1,0,0,3
-81.800166,7.18717,0,0,0,1,0,0,3
-99.336976,10.258689,0,0,0,1,0,0,3
-116.966094,19.968456,0,0,0,1,0,0,3
-97.278446,9.598519,0,0,0,1,0,0,3
-100.460347,11.164216,0,0,0,1,0,0,3
-103.902088,12.492837,0,0,0,1,0,0,3
-105.752272,12.827957,0,0,0,1,0,0,3
-105.929169,11.233136,0,0,0,1,0,0,3
-96.357788,4.789218,0,0,0,1,0,0,3
-92.178376,4.053394,0,0,0,1,0,0,3
-88.588851,0.695396,0,0,0,1,0,0,3
-83.504244,-4.669393,0,0,0,1,0,0,3
-71.58883,-8.765305,0,0,0,1,0,0,3
-72.304714,-8.142731,0,0,0,1,0,0,3
-72.830185,-10.129499,0,0,0,1,0,0,3
-79.522513,-5.065549,0,0,0,1,0,0,3
-88.145516,2.515686,0,0,0,1,0,0,3
-82.567056,-0.974004,0,0,0,1,0,0,3
-78.20493,-4.625206,0,0,0,1,0,0,3
-72.787176,-9.218251,0,0,0,1,0,0,3
-55.880247,-15.19315,1,0,0,0,0,0,3
-44.824352,-17.240418,1,0,0,0,0,0,3
-0.647861,-15.57402,1,0,0,0,0,0,5
30.205565,-15.889843,0,0,0,0,1,0,5
-0.362313,-10.155927,1,0,0,0,0,0,5
-34.52019,-10.205287,1,0,0,0,0,0,7
9.993658,-50.545959,0,0,0,0,1,0,7
40.605924,-64.7413,0,0,0,0,1,0,7
47.751626,-61.616384,0,0,0,0,0,1,7
80.700992,-45.589987,0,0,0,0,0,1,5
107.432698,-44.890684,0,0,0,0,0,1,5
125.410817,-49.830252,0,0,0,0,0,1,5
135.521391,-54.846018,0,0,0,0,0,1,5
-140.16101,31.714012,0,0,0,1,0,0,3
-116.441284,16.840091,0,0,0,1,0,0,3
-93.009311,2.667274,0,0,0,1,0,0,3
-75.892166,-6.333311,0,0,0,1,0,0,3
-66.516979,-7.910237,1,0,0,0,0,0,3
-76.68477,5.21527,0,0,0,1,0,0,3
-82.059135,7.087528,0,0,0,1,0,0,3
-82.200126,3.569292,0,0,0,1,0,0,3
-67.536777,-7.472288,0,0,0,1,0,0,3
-29.331467,-30.584788,1,0,0,0,0,0,4
-20.524288,-37.469065,1,0,0,0,0,0,4
-16.675909,-42.019748,1,0,0,0,0,0,4
-14.405454,-41.420243,1,0,0,0,0,0,4
-12.324747,-43.171739,1,0,0,0,0,0,4
26.741173,-60.479186,0,0,0,0,1,0,4
30.691923,-61.178833,0,0,0,0,1,0,4
34.156749,-49.432211,0,0,0,0,1,0,4
42.856561,-30.896495,0,0,0,0,1,0,4
17.177221,43.717088,1,0,0,0,0,0,4
-8.790939,38.673034,1,0,0,0,0,0,3
-41.607995,20.717483,1,0,0,0,0,0,3
-94.297196,6.882966,0,0,0,1,0,0,3
-88.35165,-0.425138,0,0,0,1,0,0,3
-83.162511,5.226524,0,0,0,1,0,0,3
-94.976328,8.904557,0,0,0,1,0,0,3
-104.797765,13.229935,0,0,0,1,0,0,3
-114.824466,16.825637,0,0,0,1,0,0,3
-118.394271,18.897119,0,0,0,1,0,0,3
-118.152111,19.850484,0,0,0,1,0,0,3
-111.886719,15.220478,0,0,0,1,0,0,3
-107.016194,10.73013,0,0,0,1,0,0,3
-105.296543,6.990611,0,0,0,1,0,0,3
-106.696123,9.96659,0,0,0,1,0,0,3
-102.612237,10.734587,0,0,0,1,0,0,3
-98.817468,8.610033,0,0,0,1,0,0,3
-97.945464,8.754656,0,0,0,1,0,0,3
-93.291275,3.40617,0,0,0,1,0,0,3
-86.875587,2.165336,0,0,0,1,0,0,3
-88.660775,2.096107,0,0,0,1,0,0,3
-92.923389,3.096561,0,0,0,1,0,0,3
-80.069945,-1.742153,0,0,0,1,0,0,3
-74.560724,-5.344882,0,0,0,1,0,0,3
-66.206623,-10.276685,1,0,0,0,0,0,3
-77.232105,-8.100125,0,0,0,1,0,0,3
-78.975079,-6.881924,0,0,0,1,0,0,3
-78.123986,-4.933278,0,0,0,1,0,0,3
-71.743049,-7.810035,0,0,0,1,0,0,3
-68.871713,-9.088667,0,0,0,1,0,0,3
-45.265081,-18.40689,1,0,0,0,0,0,3
-14.691881,-16.703717,1,0,0,0,0,0,3
-51.416521,-6.45788,1,0,0,0,0,0,3
-34.63571,-21.607813,1,0,0,0,0,0,7
-9.947513,-35.578279,1,0,0,0,0,0,7
28.740112,-58.26268,0,0,0,0,1,0,7
45.050771,-61.266801,0,0,0,0,1,0,7
62.387238,-59.084917,0,0,0,0,0,1,5
84.381501,-51.716885,0,0,0,0,0,1,5
105.104365,-50.428964,0,0,0,0,0,1,5
119.525091,-51.859141,0,0,0,0,0,1,5
128.351199,-54.379624,0,0,0,0,0,1,5
138.002931,-53.61803,0,0,0,0,0,1,5
-138.438956,28.060407,0,0,0,1,0,0,3
-135.107846,31.385191,0,0,0,1,0,0,3
-137.66109,38.550498,0,0,0,1,0,0,3
-122.67421,24.950862,0,0,0,1,0,0,3
-96.54856,4.753933,0,0,0,1,0,0,3
-75.233397,-6.575631,0,0,0,1,0,0,3
-71.057788,-6.43524,0,0,0,1,0,0,3
-74.568581,-0.369178,0,0,0,1,0,0,3
-56.672228,-14.978363,1,0,0,0,0,0,3
-43.725379,-27.62777,1,0,0,0,0,0,4
-33.574456,-37.019788,1,0,0,0,0,0,4
-24.994762,-38.580304,1,0,0,0,0,0,4
-19.128543,-41.622105,1,0,0,0,0,0,4
-11.135418,-50.039201,1,0,0,0,0,0,4
-8.151554,-48.318271,0,0,0,0,1,0,4
0.186383,-51.217782,0,0,0,0,1,0,4
5.578794,-52.267736,0,0,0,0,1,0,4
73.167106,45.589047,0,0,0,0,1,0,2
81.517646,76.241742,0,1,0,0,0,0,2
82.305123,104.428038,0,1,0,0,0,0,2
12.471698,50.904183,1,0,0,0,0,0,2
-30.037477,12.749257,1,0,0,0,0,0,3
-66.719514,-2.956659,0,0,0,1,0,0,3
-80.772945,-1.801912,0,0,0,1,0,0,3
-84.015641,-1.821676,0,0,0,1,0,0,3
-79.185295,-1.227042,0,0,0,1,0,0,3
-82.93212,2.292771,0,0,0,1,0,0,3
-90.047547,6.001102,0,0,0,1,0,0,3
-100.143019,8.950706,0,0,0,1,0,0,3
-106.622454,10.360527,0,0,0,1,0,0,3
-111.308744,10.403078,0,0,0,1,0,0,3
-112.33123,11.470211,0,0,0,1,0,0,3
-110.300703,13.078597,0,0,0,1,0,0,3
-106.996171,12.812767,0,0,0,1,0,0,3
-102.724566,11.372036,0,0,0,1,0,0,3
-100.801724,6.414928,0,0,0,1,0,0,3
-98.282176,3.957655,0,0,0,1,0,0,3
-94.901951,4.024094,0,0,0,1,0,0,3
-92.944441,0.623989,0,0,0,1,0,0,3
-90.77482,0.217667,0,0,0,1,0,0,3
-89.536501,-2.249818,0,0,0,1,0,0,3
-84.501545,-2.839427,0,0,0,1,0,0,3
-90.244726,2.430359,0,0,0,1,0,0,3
-99.122665,6.749681,0,0,0,1,0,0,3
-101.209156,5.952156,0,0,0,1,0,0,3
-97.753766,7.089075,0,0,0,1,0,0,3
-89.034003,3.950515,0,0,0,1,0,0,3
-79.48559,-0.42341,0,0,0,1,0,0,3
-69.864141,-7.865644,0,0,0,1,0,0,3
-66.897672,-13.668325,1,0,0,0,0,0,3
-64.629244,-15.636429,1,0,0,0,0,0,3
-67.934382,-8.645246,0,0,0,1,0,0,3
-65.051088,-11.411006,1,0,0,0,0,0,3
-63.742865,-14.133429,1,0,0,0,0,0,3
-56.961495,-17.964333,1,0,0,0,0,0,3
-50.804416,-15.400421,1,0,0,0,0,0,3
-52.235791,-12.911795,1,0,0,0,0,0,3
-45.04021,-11.897052,1,0,0,0,0,0,3
-46.439565,-9.389119,1,0,0,0,0,0,3
-67.40923,-7.623695,0,0,0,1,0,0,3
-63.289558,-10.089931,1,0,0,0,0,0,3
-52.759896,-17.874945,1,0,0,0,0,0,3
-28.690938,-30.105441,1,0,0,0,0,0,7
-1.183769,-45.180975,0,0,0,0,1,0,7
42.825254,-59.206176,0,0,0,0,1,0,7
57.745071,-59.675097,0,0,0,0,0,1,5
77.351916,-60.2531,0,0,0,0,0,1,5
95.968887,-62.047497,0,0,0,0,0,1,5
107.568482,-60.804259,0,0,0,0,0,1,5
116.818691,-55.957199,0,0,0,0,0,1,5
129.978407,-51.506312,0,0,0,0,0,1,5
-121.156031,19.294972,0,0,0,1,0,0,3
-140.2127,42.404529,0,0,0,1,0,0,3
-158.612138,52.378844,0,0,0,1,0,0,3
-121.085028,22.622788,0,0,0,1,0,0,3
-84.709508,3.656754,0,0,0,1,0,0,3
-69.010589,-3.846323,0,0,0,1,0,0,3
-69.617961,-3.221481,0,0,0,1,0,0,3
-31.67702,-38.349757,1,0,0,0,0,0,4
-25.214019,-42.846608,1,0,0,0,0,0,4
-20.781121,-43.93491,1,0,0,0,0,0,4
-17.075182,-44.92248,1,0,0,0,0,0,4
-15.573513,-46.276136,1,0,0,0,0,0,4
-15.388532,-48.289881,1,0,0,0,0,0,4
-9.08163,-48.461076,0,0,0,0,1,0,4
-3.123643,-50.130068,0,0,0,0,1,0,4
-3.88037,-45.032487,0,0,0,0,1,0,4
12.934146,-32.581628,0,0,0,0,1,0,4
48.596501,4.943662,0,0,0,0,1,0,2
82.321657,106.525598,0,1,0,0,0,0,2
98.166455,137.002114,0,1,0,0,0,0,2
108.620715,159.254968,0,1,0,0,0,0,2
113.98367,185.684187,0,1,0,0,0,0,2
103.53599,163.976408,0,1,0,0,0,0,2
13.563334,38.34039,1,0,0,0,0,0,2
-71.223341,-3.907564,0,0,0,1,0,0,3
-76.358441,-1.847192,0,0,0,1,0,0,3
-72.260255,-2.538391,0,0,0,1,0,0,3
-76.357451,-0.327577,0,0,0,1,0,0,3
-111.74655,9.824487,0,0,0,1,0,0,3
-100.497613,8.616318,0,0,0,1,0,0,3
-98.994416,9.860102,0,0,0,1,0,0,3
-100.072086,11.149706,0,0,0,1,0,0,3
-101.892653,9.418732,0,0,0,1,0,0,3
-102.786714,6.353678,0,0,0,1,0,0,3
-96.120054,4.567145,0,0,0,1,0,0,3
-93.400658,4.331332,0,0,0,1,0,0,3
-87.670425,-5.20893,0,0,0,1,0,0,3
-91.143203,0.545757,0,0,0,1,0,0,3
-98.299196,5.303811,0,0,0,1,0,0,3
-97.632077,12.174426,0,0,0,1,0,0,3
-91.480183,8.390526,0,0,0,1,0,0,3
-73.304633,-5.816374,0,0,0,1,0,0,3
-60.613617,-13.916923,1,0,0,0,0,0,3
-72.29953,-7.99591,0,0,0,1,0,0,3
-71.090722,-9.427224,0,0,0,1,0,0,3
-67.818281,-10.625623,1,0,0,0,0,0,3
-59.898436,-13.843494,1,0,0,0,0,0,3
-61.085338,-9.107025,1,0,0,0,0,0,3
-65.476647,-4.723091,1,0,0,0,0,0,3
-70.538333,-2.52902,0,0,0,1,0,0,3
-71.154651,-4.861604,0,0,0,1,0,0,3
-54.863639,-14.687643,1,0,0,0,0,0,3
-24.455866,-31.514349,1,0,0,0,0,0,7
6.742446,-49.657497,0,0,0,0,1,0,7
22.472342,-58.275338,0,0,0,0,1,0,7
28.878131,-59.795973,0,0,0,0,1,0,7
54.167507,-66.017123,0,0,0,0,0,1,7
69.332583,-70.13535,0,0,0,0,0,1,7
79.210053,-69.667146,0,0,0,0,0,1,5
90.928315,-64.395175,0,0,0,0,0,1,7
111.216505,-58.542665,0,0,0,0,0,1,5
-139.687805,32.376594,0,0,0,1,0,0,3
-131.611738,33.384422,0,0,0,1,0,0,3
-147.035357,51.486737,0,0,0,1,0,0,3
-163.169102,61.868872,0,0,0,1,0,0,3
-165.953839,58.493152,0,0,0,1,0,0,3
-136.326987,33.441787,0,0,0,1,0,0,3
-66.26662,-5.415258,1,0,0,0,0,0,3
-51.968658,-21.815116,1,0,0,0,0,0,3
-43.384392,-29.782871,1,0,0,0,0,0,3
-27.044299,-41.790254,1,0,0,0,0,0,4
-24.232925,-43.330275,1,0,0,0,0,0,4
-23.559261,-44.144357,1,0,0,0,0,0,4
-23.689472,-45.052071,1,0,0,0,0,0,4
-18.755927,-47.555909,1,0,0,0,0,0,4
-12.626353,-46.265864,1,0,0,0,0,0,4
-6.677088,-43.606424,0,0,0,0,1,0,4
3.017234,-36.366032,0,0,0,0,1,0,4
9.591743,-16.488252,0,0,0,0,1,0,4
21.234698,12.205945,0,0,0,0,1,0,4
39.295178,42.413476,0,0,0,0,1,0,2
59.667097,69.497353,0,0,0,0,1,0,2
83.241759,130.288328,0,1,0,0,0,0,2
104.494597,185.460985,0,1,0,0,0,0,2
112.774854,201.896657,0,1,0,0,0,0,2
116.670476,206.115733,0,1,0,0,0,0,2
116.046618,208.211922,0,1,0,0,0,0,2
50.507796,84.614803,0,1,0,0,0,0,2
-11.314555,23.005659,1,0,0,0,0,0,3
-77.596973,0.398996,0,0,0,1,0,0,3
-77.017272,0.448621,0,0,0,1,0,0,3
-80.188532,1.999469,0,0,0,1,0,0,3
-92.500389,3.086504,0,0,0,1,0,0,3
-106.541955,6.639603,0,0,0,1,0,0,3
-112.225681,6.734877,0,0,0,1,0,0,3
-109.972326,5.483746,0,0,0,1,0,0,3
-100.933112,5.092816,0,0,0,1,0,0,3
-101.472501,6.875638,0,0,0,1,0,0,3
-101.602862,8.447914,0,0,0,1,0,0,3
-101.272062,6.690714,0,0,0,1,0,0,3
-98.531556,6.659548,0,0,0,1,0,0,3
-96.615784,2.904861,0,0,0,1,0,0,3
-101.356228,1.897065,0,0,0,1,0,0,3
-100.673322,4.188072,0,0,0,1,0,0,3
-101.382342,6.204638,0,0,0,1,0,0,3
-106.804786,12.199946,0,0,0,1,0,0,3
-103.92981,13.991005,0,0,0,1,0,0,3
-98.004606,11.91756,0,0,0,1,0,0,3
-90.682428,6.329416,0,0,0,1,0,0,3
-76.408327,-6.212773,0,0,0,1,0,0,3
