@relation PCATransformed

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute Cluster0 numeric
@attribute Cluster1 numeric
@attribute Cluster2 numeric
@attribute Cluster3 numeric
@attribute Cluster4 numeric
@attribute Cluster5 numeric
@attribute output {1,2,3,4,5,7}

@data
-122.712561,18.972437,20.811249,-29.972942,10.280527,-40.214205,-2.813381,6.03526,-3.161318,0,0,0,1,0,0,3
-86.424662,-4.162781,13.775823,-20.251829,4.277133,-22.02253,-1.870635,17.528518,-4.355416,0,0,0,1,0,0,3
-67.169902,-14.368329,14.443068,-6.469165,1.483873,-5.910083,0.129588,4.915454,1.008378,0,0,0,1,0,0,3
-59.132323,-18.5584,12.588768,-5.942113,2.698272,0.250342,0.436815,-4.089426,3.198257,0,0,0,1,0,0,3
-60.902361,-12.81017,7.511747,-10.048723,1.090654,8.352051,1.296266,-3.25557,-2.558187,0,0,0,1,0,0,3
-66.232547,-5.45443,-1.587343,-13.829687,-0.741264,13.763772,2.974519,-1.209817,-4.066473,0,0,0,1,0,0,3
-78.441822,3.298361,-3.243921,-3.408728,4.870592,-5.376884,-5.516675,5.519647,-1.163738,0,0,0,1,0,0,3
-64.742067,-7.349212,1.882751,-0.781912,7.495509,-17.060231,-2.338166,-1.794898,-1.672779,0,0,0,1,0,0,3
-30.791916,-28.975032,3.776139,6.971181,-2.214416,0.167708,-2.664203,4.673957,-5.02623,1,0,0,0,0,0,4
-28.020698,-33.583171,4.307689,8.642177,-2.180016,-4.052883,-2.253001,0.4116,-0.386976,1,0,0,0,0,0,4
-23.421535,-34.140588,6.672222,7.104381,-0.327831,-4.592949,4.369359,-1.69193,3.20672,1,0,0,0,0,0,4
-9.385437,-43.457056,0.982382,5.837224,4.274366,-2.839441,0.963775,8.089018,1.778468,1,0,0,0,0,0,4
-2.613893,-47.105109,1.114949,17.67299,3.391982,-4.899912,-0.527305,8.92443,-5.239075,1,0,0,0,0,0,4
13.990639,-52.83606,-1.312343,21.240813,1.05171,-5.386941,5.077541,-4.317318,1.968217,1,0,0,0,0,0,4
20.363947,-55.756255,-1.848354,13.732452,-0.593061,0.814577,3.320764,6.396806,-0.421955,1,0,0,0,0,0,4
17.972636,-48.546943,-3.946141,19.275508,-4.503757,5.943056,5.230375,4.474756,-2.389649,1,0,0,0,0,0,4
6.798499,-35.350572,-3.648957,23.335787,-11.325728,17.928502,6.680617,0.090557,-9.036428,1,0,0,0,0,0,4
-12.70324,-19.460406,-1.482659,22.125607,-18.760317,20.478266,5.076611,-2.998981,-1.033624,1,0,0,0,0,0,4
-75.55899,6.803637,10.769786,2.761944,-4.38168,17.253377,0.147217,5.721243,-4.501918,0,0,0,1,0,0,3
-100.471979,8.516141,17.640529,6.590872,0.731848,-2.356822,-2.924405,3.21595,1.511118,0,0,0,1,0,0,3
-73.470164,3.754517,21.922892,-1.558925,3.783028,4.775907,-3.467676,-2.398165,-1.402504,0,0,0,1,0,0,3
-81.800166,7.18717,20.326075,1.906121,-4.684269,12.655775,-8.212525,3.9239,-11.72927,0,0,0,1,0,0,3
-99.336976,10.258689,17.593182,5.774225,-11.886109,19.262826,-0.677706,2.903917,-2.686292,0,0,0,1,0,0,3
-116.966094,19.968456,18.631479,2.387175,-1.475167,0.994008,0.786496,-5.145154,3.748993,0,0,0,1,0,0,3
-97.278446,9.598519,24.634558,-9.97383,7.959082,0.26256,-1.970176,2.634527,3.232654,0,0,0,1,0,0,3
-100.460347,11.164216,24.1434,-4.557706,4.15955,8.835404,-3.062896,2.019221,-7.553701,0,0,0,1,0,0,3
-103.902088,12.492837,20.273888,1.190302,0.854384,3.955463,-2.000935,4.981713,-5.844322,0,0,0,1,0,0,3
-105.752272,12.827957,18.564487,6.173601,-2.699062,2.508369,-2.250569,6.047973,-2.851946,0,0,0,1,0,0,3
-105.929169,11.233136,17.939813,9.381164,-3.173794,0.607237,-0.958694,-1.227673,-1.522436,0,0,0,1,0,0,3
-96.357788,4.789218,22.122519,1.7372,-3.403165,-5.825156,-0.479832,-3.357966,0.999226,0,0,0,1,0,0,3
-92.178376,4.053394,22.30135,-1.272487,-3.362083,1.133209,1.254068,0.454316,2.316721,0,0,0,1,0,0,3
-88.588851,0.695396,20.71457,-14.45414,0.465425,0.093303,-3.84943,2.824444,-3.819193,0,0,0,1,0,0,3
-83.504244,-4.669393,20.402569,-11.115245,-0.298765,0.312974,-2.705586,1.126167,-1.317642,0,0,0,1,0,0,3
-71.58883,-8.765305,18.61893,0.64929,-0.915473,-2.172015,0.742589,6.910222,-3.442216,0,0,0,1,0,0,3
-72.304714,-8.142731,17.028347,11.30354,-6.571015,3.645129,-1.756113,9.694413,-3.882524,0,0,0,1,0,0,3
-72.830185,-10.129499,19.013279,17.058563,-8.815792,2.628063,0.329759,0.925467,-3.945939,0,0,0,1,0,0,3
-79.522513,-5.065549,20.257662,10.649399,-5.965194,8.977675,1.543743,-5.338894,4.968138,0,0,0,1,0,0,3
-88.145516,2.515686,16.097071,6.458659,0.929943,1.595668,-1.11959,4.740407,-0.722418,0,0,0,1,0,0,3
-82.567056,-0.974004,17.604808,10.019496,-3.000252,-2.219839,-0.926467,-3.25084,-1.082399,0,0,0,1,0,0,3
-78.20493,-4.625206,19.319542,9.728177,-2.233436,-6.12574,-1.383788,2.43168,2.964617,0,0,0,1,0,0,3
-72.787176,-9.218251,17.847953,10.224064,-0.239094,-1.799714,0.551501,1.351953,0.401157,0,0,0,1,0,0,3
-55.880247,-15.19315,13.955126,4.948946,1.040185,-7.403127,2.726595,-3.275617,0.976423,0,0,0,1,0,0,3
-44.824352,-17.240418,13.81091,2.13075,0.762978,-3.660211,4.257563,-1.564765,1.69223,1,0,0,0,0,0,3
-0.647861,-15.57402,16.036209,-5.168804,10.708716,-22.630009,17.185397,-3.381165,4.333004,1,0,0,0,0,0,5
30.205565,-15.889843,12.684558,-15.344452,15.040596,-16.771347,11.506982,-9.101178,8.44595,0,0,0,0,1,0,5
-0.362313,-10.155927,7.522169,-20.957902,2.578518,45.169349,-25.217501,8.63002,-6.536698,1,0,0,0,0,0,5
-34.52019,-10.205287,12.521057,-7.526775,3.407517,16.125127,-15.940998,14.179019,-11.637773,1,0,0,0,0,0,7
9.993658,-50.545959,9.494918,16.643297,-3.829989,-20.11526,0.759326,-6.97368,3.170872,1,0,0,0,0,0,7
40.605924,-64.7413,7.961205,-2.457414,3.158816,-4.621512,3.515901,-4.758468,0.907829,0,0,0,0,0,1,7
47.751626,-61.616384,7.242083,-1.08324,-1.465932,-1.414367,3.820964,6.061063,-6.773367,0,0,0,0,0,1,7
80.700992,-45.589987,3.075565,4.491997,2.194723,-15.951437,21.736355,-3.050112,5.584022,0,0,0,0,0,1,5
107.432698,-44.890684,0.370701,-0.316732,4.68675,-19.154903,8.1155,-5.56923,2.636727,0,0,0,0,0,1,5
125.410817,-49.830252,1.352563,-0.275139,1.983345,-10.396066,-5.544653,3.460998,0.818186,0,0,0,0,0,1,5
135.521391,-54.846018,0.994193,5.962763,0.377024,0.672922,4.018625,-0.291434,-1.629868,0,0,0,0,0,1,5
-140.16101,31.714012,17.80753,-10.803023,2.063669,-23.846904,0.196057,-30.452363,10.238579,0,0,0,1,0,0,3
-116.441284,16.840091,15.744805,-37.933471,5.791059,-16.579774,-4.836628,-14.592078,9.679901,0,0,0,1,0,0,3
-93.009311,2.667274,17.31479,-36.693678,8.461447,-17.210397,-1.782033,15.7402,-6.660404,0,0,0,1,0,0,3
-75.892166,-6.333311,14.149136,-20.200848,4.178721,-9.630666,-0.904925,17.324741,-5.835055,0,0,0,1,0,0,3
-66.516979,-7.910237,6.693408,-1.952143,1.720637,5.227642,0.239922,6.590067,3.802417,0,0,0,1,0,0,3
-76.68477,5.21527,-2.904078,12.596219,3.979611,10.024223,-1.18308,3.288623,-4.474997,0,0,0,1,0,0,3
-82.059135,7.087528,-3.711791,14.657163,0.860801,2.692872,-3.925732,-2.680424,-3.022491,0,0,0,1,0,0,3
-82.200126,3.569292,-0.980635,11.041595,-0.22542,-6.462284,-1.740242,-3.466616,-1.92831,0,0,0,1,0,0,3
-67.536777,-7.472288,3.416228,6.682664,2.005697,-18.68324,0.513138,-4.659771,2.990208,0,0,0,1,0,0,3
-29.331467,-30.584788,6.525897,11.393667,-0.639833,-1.729502,0.275525,0.763169,-4.528651,1,0,0,0,0,0,4
-20.524288,-37.469065,5.985168,18.984436,-0.779518,-3.484265,-1.004513,2.035635,2.521042,1,0,0,0,0,0,4
-16.675909,-42.019748,7.02294,19.227208,1.243223,-2.653561,-2.760449,-0.298371,0.612908,1,0,0,0,0,0,4
