@relation RCATransformed

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute Cluster0 numeric
@attribute Cluster1 numeric
@attribute Cluster2 numeric
@attribute Cluster3 numeric
@attribute Cluster4 numeric
@attribute Cluster5 numeric
@attribute output {1,2,3,4,5,7}

@data
-147.650718,27.077256,58.632938,16.221172,-82.450193,33.762655,-40.13829,-64.46875,230.161204,70.007033,14.325038,-76.44269,17.930576,56.084163,-91.579789,0,0,0,1,0,0,3
-125.730702,17.41398,53.641265,23.938012,-85.506177,34.37665,-27.104824,-56.619546,216.566393,65.956767,18.750783,-74.844886,11.670833,42.562537,-86.099304,0,0,0,1,0,0,3
-122.086606,13.200322,47.210133,17.881767,-87.236047,22.322606,-16.346008,-56.719596,213.92638,62.000551,20.780834,-73.451531,7.996085,36.091723,-72.741974,0,0,0,1,0,0,3
-121.011149,15.197105,49.320292,21.682726,-85.034373,19.085014,-16.425245,-59.419243,214.382239,62.74835,22.526942,-75.746404,8.921828,36.610584,-64.495896,0,0,0,1,0,0,3
-121.413741,13.841325,53.402803,21.651854,-88.00141,16.068652,-14.852267,-61.572697,209.553971,62.008315,29.07033,-74.039286,16.482546,35.194957,-64.134274,0,0,0,1,0,0,3
-120.127232,12.347244,52.887082,21.889443,-95.172606,14.255988,-14.37836,-71.83905,212.708651,59.300279,25.156771,-75.370986,11.364159,34.261212,-63.344593,0,0,0,1,0,0,3
-129.712016,13.061051,42.310468,21.129567,-91.636248,26.140756,-17.837448,-61.690039,219.410457,59.158386,14.975224,-78.684488,14.822744,35.529734,-73.25532,0,0,0,1,0,0,3
-131.063737,19.140615,49.696189,12.850944,-90.426372,25.93042,-20.590124,-55.040673,213.397053,59.497336,12.845782,-73.489098,12.828295,36.514237,-74.841815,0,0,0,1,0,0,3
-112.285865,10.575342,49.801805,21.278324,-82.323553,14.849761,-12.061992,-50.26651,197.012031,57.146995,17.958256,-73.758458,10.590846,27.892149,-61.721904,0,0,0,0,1,0,4
-113.143432,9.988001,49.808506,16.272407,-77.868106,16.818045,-9.141308,-53.123852,194.896723,56.20854,14.8815,-68.08905,5.898008,24.706865,-64.432702,0,0,0,0,1,0,4
-116.7271,11.412427,47.140917,17.217403,-77.623314,11.951214,-13.7818,-51.35784,199.464633,48.465529,16.285342,-65.731218,9.991977,28.776057,-62.276095,0,0,0,0,1,0,4
-114.007264,11.48064,45.980885,20.873347,-75.899932,15.082194,-11.593579,-50.922602,190.281657,51.087079,16.757348,-65.706824,9.36201,30.566648,-62.742349,0,0,0,0,1,0,4
-109.855169,10.507071,50.161778,17.528888,-75.324929,15.215381,-8.536897,-44.210916,183.309154,54.258012,13.212847,-61.12035,10.061329,23.62418,-57.672903,0,0,0,0,1,0,4
