@relation RCATransformed

@attribute attr1 numeric
@attribute attr2 numeric
@attribute Cluster0 numeric
@attribute Cluster1 numeric
@attribute Cluster2 numeric
@attribute Cluster3 numeric
@attribute Cluster4 numeric
@attribute Cluster5 numeric
@attribute output {1,2,3,4,5,7}

@data
121.852855,108.76055,0,0,0,1,0,0,3
107.328716,99.632596,0,0,0,1,0,0,3
103.407479,96.876274,0,0,0,0,1,0,3
103.946224,101.984605,0,0,0,1,0,0,3
102.252218,105.975297,0,0,0,1,0,0,3
98.869726,107.864592,0,0,0,1,0,0,3
108.406205,112.92259,0,0,0,1,0,0,3
108.406205,107.507128,0,0,0,1,0,0,3
98.686432,99.667761,0,0,0,0,1,0,4
99.408471,92.852427,0,0,0,0,1,0,4
103.907338,95.112381,0,0,0,0,1,0,4
92.104742,91.40476,0,0,0,0,1,0,4
95.30394,86.522197,0,0,0,0,1,0,4
99.408471,83.435375,0,0,0,0,1,0,4
87.422581,83.362744,0,0,0,0,1,0,4
88.000212,92.505542,0,0,0,0,1,0,4
91.343818,99.598999,0,0,0,0,1,0,4
96.564723,102.53558,0,0,0,0,1,0,4
102.790963,117.660234,1,0,0,0,0,0,3
116.190384,111.819684,0,0,0,1,0,0,3
111.652631,115.214643,0,0,0,1,0,0,3
114.812943,115.280071,0,0,0,1,0,0,3
106.789971,113.143999,0,0,0,1,0,0,3
116.951309,112.579427,0,0,0,1,0,0,3
112.807893,112.38102,0,0,0,1,0,0,3
106.751085,118.877847,1,0,0,0,0,0,3
112.230262,120.964468,0,0,1,0,0,0,3
112.807893,120.637061,0,0,1,0,0,0,3
116.912423,114.883684,0,0,0,1,0,0,3
116.912423,108.372148,0,0,0,1,0,0,3
106.828857,110.994357,0,0,0,1,0,0,3
106.212341,111.290397,0,0,0,1,0,0,3
106.751085,105.724742,0,0,0,1,0,0,3
102.868735,99.208133,0,0,0,0,1,0,3
106.212341,105.773522,0,0,0,1,0,0,3
