@relation RCATransformed

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute Cluster0 numeric
@attribute Cluster1 numeric
@attribute Cluster2 numeric
@attribute Cluster3 numeric
@attribute Cluster4 numeric
@attribute Cluster5 numeric
@attribute output {1,2,3,4,5,7}

@data
42.278195,167.126014,-13.310909,-9.516712,181.79173,0.59666,124.862114,-123.455674,96.925814,-180.097419,62.626058,108.066069,104.712396,79.77806,-136.99222,4.853282,49.68977,-92.834691,221.371902,-80.600501,50.354508,110.944085,-8.812921,-122.647349,-229.067129,-60.653466,69.050636,59.320453,155.561582,-23.507854,5.725034,-54.152502,0,0,0,1,0,0,3
39.904554,161.41506,-11.008565,-0.146467,170.321147,5.869169,109.281975,-117.107812,91.72271,-161.72635,58.877827,104.376157,93.337943,72.760734,-136.748208,8.763601,45.727838,-79.384878,202.544134,-72.861574,48.124866,115.277329,-3.279316,-117.690945,-209.440955,-59.031848,64.110067,48.743834,142.454206,-10.957714,9.395614,-49.791497,0,0,0,1,0,0,3
42.644256,159.427395,-9.054731,-4.62652,159.841602,9.456069,110.567791,-116.369558,87.172845,-156.626795,53.943694,98.751837,87.307834,64.899521,-129.50476,17.957998,32.399155,-75.319427,192.099418,-69.566719,48.570186,105.326687,-1.614595,-121.873756,-198.997616,-61.068756,61.447491,39.635227,136.726758,-9.696014,14.723372,-60.157756,0,0,0,1,0,0,3
36.914747,158.618998,-10.444385,-8.157261,154.567434,13.127625,109.377719,-110.910221,81.98806,-153.959921,52.089736,95.106896,79.50639,66.325155,-131.356019,26.973487,29.217289,-76.310056,188.690676,-71.710832,51.314348,100.069615,1.811654,-120.053677,-196.409751,-58.706633,62.702275,41.530331,135.428685,-12.851325,12.482822,-57.678657,1,0,0,0,0,0,3
36.444804,157.118472,-7.770203,-3.556967,160.385528,11.778352,103.10769,-107.748165,80.755963,-156.187594,51.112909,92.630424,77.216952,71.988616,-133.327426,25.86235,28.870036,-80.868313,189.872059,-69.207107,55.671983,98.490478,-0.835886,-129.385697,-197.466918,-61.090333,55.013018,39.477361,138.15627,-12.923816,12.891243,-61.710696,1,0,0,0,0,0,3
37.773746,163.106001,-4.631198,-6.394205,166.920355,14.763633,105.471406,-108.56784,83.762625,-153.787543,50.042952,96.71902,77.365705,70.254919,-135.869181,25.630896,33.659964,-81.155585,192.862849,-67.334124,66.596439,98.795466,4.69746,-128.395631,-195.152279,-67.990384,52.561991,39.496218,142.899594,-13.270739,8.820709,-58.385507,0,0,0,1,0,0,3
50.981413,161.388268,-10.87123,-13.612891,166.867858,10.313853,112.926452,-120.827477,84.871736,-159.098201,48.453944,104.11603,82.476863,72.560794,-138.714612,20.619088,39.674717,-79.073508,203.337681,-66.484809,52.725721,107.9704,7.900378,-129.431655,-195.215184,-61.451297,62.056777,34.900212,145.408666,-17.3718,5.687167,-51.326827,0,0,0,1,0,0,3
46.63133,154.094627,-10.568063,-10.774134,158.256759,8.252465,120.443882,-118.062533,87.282045,-161.800167,47.419237,101.257003,83.359547,68.991518,-134.698312,20.577878,36.378858,-78.247196,194.29194,-65.063898,47.487302,102.597919,1.897551,-121.199742,-192.875203,-53.709483,61.743975,40.367384,135.197472,-19.284157,7.563616,-51.168864,0,0,0,1,0,0,3
41.400091,152.443658,-5.271162,-6.98202,153.412215,12.463655,104.242085,-103.388064,81.511922,-146.95459,45.477154,88.167517,76.363669,62.821815,-127.266108,26.617212,31.501916,-71.220075,171.382542,-61.087122,43.067049,104.263539,0.785942,-117.939895,-178.934699,-53.010331,57.205057,30.987315,124.829124,-17.087156,12.048624,-53.435272,1,0,0,0,0,0,4
41.438882,148.417556,-13.1887,-6.08937,150.351581,11.922488,108.405813,-109.556413,81.396813,-147.03847,44.796777,87.787211,70.918988,54.048747,-122.247866,28.307834,30.20967,-70.975984,169.374724,-63.749577,41.683744,101.335648,1.885016,-116.587729,-177.082051,-52.320023,56.136722,36.773025,129.135244,-12.295151,7.741913,-53.048405,1,0,0,0,0,0,4
