@relation RCATransformed

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute Cluster0 numeric
@attribute Cluster1 numeric
@attribute Cluster2 numeric
@attribute Cluster3 numeric
@attribute Cluster4 numeric
@attribute Cluster5 numeric
@attribute output {1,2,3,4,5,7}

@data
126.002322,10.103537,95.354879,-66.522578,-192.796764,0,0,0,1,0,0,3
121.912059,4.807646,88.777159,-57.729709,-181.574361,0,0,0,1,0,0,3
122.217408,-0.293247,92.846256,-60.558329,-177.539087,0,0,0,1,0,0,3
113.7466,-4.840443,97.834398,-57.199422,-171.091421,1,0,0,0,0,0,3
112.827445,-2.418068,100.318872,-61.373364,-171.760204,0,0,0,1,0,0,3
120.140095,-7.656799,101.785007,-56.506818,-168.594801,0,0,0,1,0,0,3
122.709462,-5.089123,94.357626,-65.435594,-168.396273,0,0,1,0,0,0,3
118.610523,-1.416613,86.517296,-67.200591,-165.225931,1,0,0,0,0,0,3
111.764925,-1.25572,79.854927,-56.887611,-161.057573,1,0,0,0,0,0,4
116.537341,-2.402066,78.015652,-56.956669,-154.504893,1,0,0,0,0,0,4
113.405338,-1.371203,83.402977,-62.363412,-161.857902,1,0,0,0,0,0,4
107.317066,-0.033086,82.039578,-54.645003,-157.69634,1,0,0,0,0,0,4
106.913923,3.699617,74.017304,-56.910766,-151.698358,1,0,0,0,0,0,4
104.229769,-0.694484,75.614049,-57.65493,-149.913222,1,0,0,0,0,0,4
105.595618,5.192425,74.612313,-53.956226,-142.955471,0,0,0,0,1,0,4
102.575533,3.257589,76.298322,-55.604395,-149.235216,1,0,0,0,0,0,4
111.133163,-1.397435,80.744467,-60.344447,-152.36428,1,0,0,0,0,0,4
112.338739,-9.026727,83.771079,-57.569233,-155.310353,1,0,0,0,0,0,4
120.747782,-5.359042,95.595965,-66.253722,-175.937496,0,0,0,1,0,0,3
132.085724,-0.276416,100.584993,-70.917838,-184.062652,0,0,0,1,0,0,3
109.442693,-1.545331,94.992158,-67.378366,-181.35405,0,0,0,1,0,0,3
120.185697,-2.510913,94.156262,-67.354642,-190.03415,0,0,0,1,0,0,3
134.300667,-1.129132,103.90903,-61.564387,-191.371584,0,0,0,1,0,0,3
133.679221,-3.245038,104.986479,-66.888193,-189.203904,0,0,0,1,0,0,3
119.423707,-1.200147,98.312795,-67.397114,-191.189381,0,0,0,1,0,0,3
121.794216,1.377409,106.166044,-65.95651,-183.175098,0,0,0,1,0,0,3
126.541195,1.729098,102.208249,-70.844355,-184.708713,0,0,0,1,0,0,3
131.73128,-1.908386,100.99668,-70.705389,-185.08814,0,0,0,1,0,0,3
133.144527,-3.017347,100.475216,-68.326397,-185.778714,0,0,0,1,0,0,3
127.685422,1.946424,95.63372,-66.355063,-189.325737,0,0,0,1,0,0,3
126.674701,2.385688,102.079599,-65.456139,-186.279486,0,0,0,1,0,0,3
117.587491,0.413557,98.13097,-61.611117,-187.427202,0,0,0,1,0,0,3
124.930607,-0.454321,98.642507,-59.961344,-183.795596,0,0,0,1,0,0,3
117.623821,4.726151,94.658123,-57.848798,-180.008217,0,0,0,1,0,0,3
121.492999,2.055984,92.111294,-65.027097,-179.319802,0,0,0,1,0,0,3
