@relation RCATransformed

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute Cluster0 numeric
@attribute Cluster1 numeric
@attribute Cluster2 numeric
@attribute Cluster3 numeric
@attribute Cluster4 numeric
@attribute Cluster5 numeric
@attribute output {1,2,3,4,5,7}

@data
114.351523,-63.455462,-18.847456,99.299208,136.032035,-98.52867,8.655258,-75.375077,217.88981,0,0,0,1,0,0,3
110.179935,-57.880492,-17.038844,91.319798,128.093909,-91.501317,14.139266,-70.708392,195.630499,0,0,0,1,0,0,3
106.524248,-51.921958,-13.571931,88.685766,120.914472,-82.339912,14.93927,-63.716892,187.077119,0,0,0,1,0,0,3
103.576132,-53.167917,-12.979469,94.690733,121.63077,-80.465897,6.399784,-61.901702,185.433235,0,0,0,1,0,0,3
110.601967,-52.818072,-19.665199,96.178578,118.010147,-79.448428,5.354607,-59.948594,182.453882,0,0,0,1,0,0,3
109.123715,-53.971281,-13.93971,99.371183,114.26631,-77.774666,2.042755,-61.718907,183.385845,0,0,0,1,0,0,3
106.119093,-58.471843,-12.048998,97.70806,118.534934,-77.291579,5.563684,-68.514894,192.807152,0,0,0,1,0,0,3
103.255561,-56.269926,-15.084603,94.484119,123.656065,-75.712743,10.135883,-65.000641,194.485359,0,0,0,1,0,0,3
104.758999,-43.344585,-13.159145,91.894183,108.440317,-74.135687,10.59469,-58.841064,172.617786,1,0,0,0,0,0,4
101.847216,-46.181636,-11.680411,86.72841,111.045603,-68.975541,7.389092,-54.788632,175.320956,1,0,0,0,0,0,4
97.324364,-44.578223,-11.212727,92.337462,111.293033,-65.458845,8.214133,-53.355349,174.540903,1,0,0,0,0,0,4
97.777512,-50.694884,-11.303364,83.220713,105.581257,-73.496939,11.553407,-50.631441,163.676051,1,0,0,0,0,0,4
101.605666,-42.393367,-14.250791,79.977458,106.73885,-72.34991,12.27015,-49.631931,159.183943,1,0,0,0,0,0,4
93.834768,-38.296479,-12.726794,87.29816,103.357714,-66.051465,7.925447,-48.562873,154.772836,1,0,0,0,0,0,4
92.990835,-39.038239,-6.12618,74.782512,99.024143,-63.310467,7.053414,-46.137807,152.90071,1,0,0,0,0,0,4
101.524359,-41.511008,-10.8865,78.913889,99.166805,-59.508851,5.629216,-45.146691,156.265311,1,0,0,0,0,0,4
102.267759,-37.981313,-15.675816,80.695026,92.760517,-63.900245,5.045483,-40.80629,156.513259,1,0,0,0,0,0,4
104.97124,-42.243522,-15.064738,82.51548,98.079602,-64.781423,-0.558862,-52.14982,168.473,1,0,0,0,0,0,4
113.358255,-56.351154,-16.16659,92.245842,114.962735,-74.935826,4.636936,-62.972761,187.061056,0,0,0,1,0,0,3
