@relation ICATransformed

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute Cluster0 numeric
@attribute Cluster1 numeric
@attribute Cluster2 numeric
@attribute Cluster3 numeric
@attribute Cluster4 numeric
@attribute Cluster5 numeric
@attribute output {1,2,3,4,5,7}

@data
-0.217805,0.314157,1.331984,-1.924033,0.742239,1.10929,0.872135,-3.307452,0.763837,0.11108,-0.309139,0.3066,1.226135,0.163384,0.299748,0,0,1,0,0,0,3
-0.509449,0.061106,-0.558157,-1.250621,0.424108,0.157852,-0.519394,-2.584685,0.059914,1.220226,0.326265,-0.484177,0.07228,-0.275746,0.028371,1,0,0,0,0,0,3
-0.349998,0.135319,-1.287972,-0.961283,-0.076912,-0.069824,-0.675164,-1.139702,0.416326,0.009443,0.143264,0.488365,0.003437,0.322856,-0.018344,1,0,0,0,0,0,3
-0.646594,-0.591961,0.427422,-0.653184,0.262546,0.534535,0.075384,0.064989,0.005073,0.311386,0.886308,-0.582359,0.043255,0.208415,-0.323001,1,0,0,0,0,0,3
-0.342129,0.046127,2.73925,-0.752163,0.293968,-0.961364,-0.795628,-0.790119,0.426434,-1.322773,0.253454,-0.425271,-0.628064,0.963665,-0.817044,0,0,1,0,0,0,3
-0.764005,-0.257552,2.151679,-0.626867,0.608782,-0.235526,1.343988,0.318509,-0.089677,-0.731917,0.730432,-0.352975,0.395335,0.96516,-0.910895,0,0,1,0,0,0,3
-0.611458,-0.724002,-0.796104,-0.741842,1.587936,0.843697,-0.073927,-0.00825,-0.236249,0.111878,0.411645,-1.102302,0.463073,-0.596621,1.455685,1,0,0,0,0,0,3
-0.361944,0.374932,-2.026276,-0.593204,1.012885,1.502504,-0.491311,-0.009848,0.708146,-0.828422,-0.269093,0.294713,-0.294687,0.33339,1.384223,1,0,0,0,0,0,3
-0.431364,-0.090267,-0.453407,-0.42949,0.462919,-0.717215,-0.420668,-0.503323,0.799535,-0.081114,0.487173,-0.814411,-0.17847,0.561192,0.883275,1,0,0,0,0,0,4
-0.58604,0.559072,-1.570687,-0.22712,0.116452,0.558632,0.186055,0.621516,0.26765,-0.59236,0.675481,0.638546,0.072156,0.754071,0.922004,1,0,0,0,0,0,4
-0.568302,-0.508165,-1.480684,-0.499983,-0.123853,-0.052445,-0.380012,-0.472958,-0.68959,-1.201726,-0.112582,0.000825,0.1709,0.098636,0.727056,1,0,0,0,0,0,4
-0.587036,-1.08423,0.304192,0.153691,-0.402369,-0.267184,-0.064898,-0.645768,-0.632638,-0.385313,-0.249006,-0.382014,0.771086,-0.870766,0.099404,0,0,0,0,0,1,4
-0.528721,0.055777,-0.067603,0.211156,-0.797205,-0.226106,0.11601,-0.051379,0.69863,0.622223,0.451644,-0.392082,-0.52984,-0.20179,0.642879,0,0,0,0,0,1,4
-0.454322,-0.011543,0.14698,0.264719,-1.443495,-0.08401,-0.021082,-0.166161,0.008184,-0.271754,-0.247312,0.187669,-0.340798,-0.486095,0.535749,0,0,0,1,0,0,4
-0.643946,0.2547,-1.009312,0.784728,-0.209772,-0.27246,1.120668,0.265152,-0.093433,0.678093,0.10128,1.002556,0.300109,-0.418532,0.770202,0,0,0,0,0,1,4
-0.304932,-0.423957,-0.776385,0.576646,-0.33028,-1.302957,-1.179002,-0.22006,-0.292221,-0.15629,-1.35189,-0.422259,-0.662431,-0.8508,0.64968,0,0,0,0,0,1,4
-0.287339,0.509924,-0.951279,0.194299,-0.386164,-1.691303,0.715359,0.674176,0.459137,0.229705,-2.248568,0.339475,-0.471299,-0.858013,0.729101,0,0,0,0,0,1,4
-0.246448,-0.686059,-1.695748,-0.058768,-0.187107,-1.116007,1.031594,1.567365,0.86932,1.625427,-1.019837,0.097859,1.014379,0.022477,0.462314,1,0,0,0,0,0,4
-0.235202,0.073149,-0.68194,-0.923252,0.970158,-1.101973,0.335277,0.344807,0.415572,0.617449,-0.425138,0.345102,-0.043367,-0.473555,0.511692,1,0,0,0,0,0,3
-0.279392,-1.082659,-0.238698,-1.089234,0.12502,0.549845,0.330186,0.288711,0.240692,-0.806293,0.329356,-0.348914,1.330092,0.270958,0.572441,1,0,0,0,0,0,3
-0.416254,-0.445359,-1.210231,-1.317125,0.278657,-0.829229,-0.420874,-0.099141,-0.321267,0.965434,0.172803,-1.614983,-0.981393,-1.279862,-0.274827,1,0,0,0,0,0,3
0.056718,0.417866,0.411089,-1.351388,0.363211,-1.600892,0.075931,-0.241885,2.050773,-0.925089,-0.079043,-0.138706,0.377422,1.212083,-0.286355,1,0,0,0,0,0,3
-0.289543,0.5231,2.042747,-1.117103,-0.367875,-1.413843,0.343047,0.482639,0.249404,-0.125653,0.426767,0.620489,0.195898,0.511327,-0.463133,0,0,1,0,0,0,3
-0.232056,-0.604994,-1.218989,-1.586022,-0.051021,0.23667,0.195519,-0.155299,0.189034,0.055638,-0.05552,-0.065123,0.683613,-0.243755,-0.276734,1,0,0,0,0,0,3
-0.327921,0.521083,-3.053476,-1.745266,0.761401,-0.853512,-0.820875,-1.304714,-0.121016,0.921262,0.164395,0.751404,-0.874679,-1.085129,-0.055934,1,0,0,0,0,0,3
0.004244,0.572937,1.376091,-0.779009,2.263259,-0.055686,-0.650313,-0.08058,1.044887,-0.217893,-0.307869,0.113282,-1.042273,0.126788,1.003233,0,0,1,0,0,0,3
-0.41699,-0.081245,-0.200877,-0.963139,1.828983,-0.241985,1.264851,0.142354,0.7494,0.304773,0.51178,0.032763,0.591435,0.518979,1.451686,1,0,0,0,0,0,3
-0.429794,0.185043,-0.766305,-1.186728,0.952886,-0.229556,-0.424533,-0.329981,-0.073473,0.088602,0.505583,-0.460507,-0.238458,0.051557,0.962242,1,0,0,0,0,0,3
-0.345012,-0.130188,0.1975,-1.309622,0.118671,0.083884,0.15622,-0.039948,0.229052,-0.743969,0.282472,-0.234722,0.388331,0.447468,0.411294,1,0,0,0,0,0,3
-0.488129,0.119509,-1.828102,-1.348781,-0.269036,0.316331,0.526444,0.301669,-0.207896,-0.205313,0.040724,0.154374,0.277339,-0.061412,0.202759,1,0,0,0,0,0,3
-0.282983,-1.153559,0.238297,-1.151655,-0.065013,-0.488133,-0.012766,-0.382621,0.189732,-0.444415,0.338726,-0.88727,0.837481,0.645243,-0.120745,1,0,0,0,0,0,3
-0.24083,-1.086203,-0.043109,-1.295419,0.53422,-0.923971,-0.223452,-1.229092,0.62974,-0.326446,-0.085768,-1.287192,0.871404,0.289984,-0.358493,1,0,0,0,0,0,3
-0.450819,0.649497,0.436939,-0.851504,0.153988,0.637953,0.154416,0.577676,0.918665,0.262156,1.292799,0.575738,-0.343611,1.405072,-0.417114,1,0,0,0,0,0,3
-0.52961,-0.961082,1.074782,-0.576123,0.073013,-0.186167,1.791528,-0.218636,-0.107363,0.218651,0.134392,-0.549906,1.529622,-0.23774,0.446587,0,0,1,0,0,0,3
-0.298291,0.223854,-0.45145,-0.796762,0.219167,-1.07721,-1.014072,-0.396758,0.521883,0.25421,0.694978,-0.359967,-0.490484,0.541753,1.031236,1,0,0,0,0,0,3
-0.368127,0.344275,-1.762404,-0.488042,-0.592542,0.019364,-0.273786,1.130095,-0.10629,-0.942789,-0.283721,0.077832,-0.357024,0.392686,0.512817,1,0,0,0,0,0,3
-0.419261,0.182647,0.634304,-0.935013,-0.980259,-0.27679,-0.579031,0.400691,-0.755748,-0.00849,0.498617,-0.110732,-0.640918,-0.309108,-0.565424,0,0,1,0,0,0,3
-0.359304,-0.88615,0.297625,-1.009856,0.236641,0.129528,0.250734,0.378605,-0.076768,0.076717,-0.18457,-0.65933,0.401104,-0.694731,0.53981,1,0,0,0,0,0,3
-0.441592,-0.035303,-0.665137,-1.046668,-0.306188,-0.07853,0.671116,0.434997,0.56033,0.14244,0.547934,0.049203,0.341522,0.4932,0.541925,1,0,0,0,0,0,3
-0.354331,-0.204473,-0.292071,-0.885106,-0.735263,0.018294,-0.18466,0.259288,0.213482,-0.149129,0.898084,-0.013625,0.224057,0.531799,0.353401,1,0,0,0,0,0,3
-0.452217,0.44415,0.176714,-0.608939,-0.902534,0.105484,-0.529473,-0.267173,-0.620943,-0.466823,0.376415,-0.159152,-0.708477,-0.380073,0.088438,1,0,0,0,0,0,3
-0.333701,-0.19127,0.620262,-0.51528,-0.643593,0.294127,0.242569,-0.058597,0.363933,-0.144637,-0.103767,0.220551,0.201035,0.162347,0.018733,0,0,1,0,0,0,3
-0.310876,0.399253,0.419721,-0.298483,-1.25337,0.184783,-0.163312,0.046819,-0.183764,0.342868,-0.309634,0.447922,-0.774595,-0.498059,-0.743392,1,0,0,0,0,0,3
-0.0622,-0.450282,0.043625,-0.189242,-3.086208,1.964442,-0.22738,-0.75018,0.726211,-0.564071,1.150491,0.778119,-1.147698,2.52879,-2.290772,0,0,0,1,0,0,5
-0.602483,0.015776,-0.385089,-0.284569,-3.431193,0.047334,1.4324,-2.330937,-1.602685,-0.059025,2.285635,0.009868,-0.599891,0.45921,-3.64788,1,0,0,0,0,0,5
-0.079031,0.264093,-0.392205,0.094535,1.556371,-1.807685,-0.434365,1.795115,-0.212436,-2.545759,0.136751,-1.090397,0.522119,-0.53607,-2.326609,1,0,0,0,0,0,5
-0.224297,-0.346073,0.378525,0.154624,1.489005,0.47369,1.05393,1.540959,0.767864,-1.641981,0.457488,-0.43282,1.518154,0.683399,-0.302088,0,0,1,0,0,0,7
-0.489793,0.688578,-0.239615,0.581907,-1.764183,0.496391,0.688379,-0.451669,-0.331684,-0.058879,0.463999,0.461301,0.470807,0.196026,0.333594,0,0,0,1,0,0,7
-0.404509,0.579392,-0.031845,1.399249,0.34778,0.755902,0.106233,-0.054272,-0.601319,0.512846,-0.936494,0.653361,-0.563819,-1.171702,0.521311,0,0,0,0,0,1,7
-0.159679,-1.121492,-0.428615,1.220673,1.045889,-0.287834,0.145152,-0.583621,0.455241,0.299432,-1.485838,-0.989305,0.563805,-0.302596,1.143305,0,0,0,0,0,1,7
