@relation ICATransformed

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute Cluster0 numeric
@attribute Cluster1 numeric
@attribute Cluster2 numeric
@attribute Cluster3 numeric
@attribute Cluster4 numeric
@attribute Cluster5 numeric
@attribute output {1,2,3,4,5,7}

@data
1.468508,1.635734,-0.569425,-0.609493,-0.081084,-2.863125,-0.755998,-2.248658,-0.367202,0.605319,-0.461364,1.246854,0.667812,-0.119561,1.293833,-2.498131,-0.952787,0.094694,-0.002443,1.149009,-0.145259,1.839798,0.162766,0.819819,-0.039347,0.105614,-1.639993,-1.127318,-0.531641,0.721702,0.758539,1.025218,0,0,0,1,0,0,3
2.115768,1.24248,0.009862,0.049661,-0.733037,-1.039987,0.045633,1.800241,-0.293317,0.93982,0.335641,2.444234,0.755023,-0.489092,-0.570033,0.664273,-0.793596,0.917273,-0.75494,-0.482413,-0.37468,1.42039,-1.498095,-0.483648,-0.35225,-0.86542,0.253271,0.770926,-1.426741,-1.168445,0.415551,0.289638,1,0,0,0,0,0,3
0.910533,0.414375,-0.210332,-0.431057,0.464394,0.109399,-0.501456,1.260801,-0.849054,-0.480088,-0.05574,1.340775,0.395132,0.702764,-1.152999,0.666248,1.010231,0.450307,0.829924,-0.013338,0.514053,1.053094,0.245971,0.499708,-0.316423,-0.046116,0.363922,0.586744,-0.112154,0.07836,-0.585593,0.075646,1,0,0,0,0,0,3
-0.383532,0.390802,0.245485,-0.215709,-1.848302,0.090108,0.175439,0.028345,-0.888484,0.114088,0.699816,-0.130153,1.04236,0.679239,0.322902,-0.531955,0.39706,-1.105605,0.200524,-1.118311,0.332839,0.696414,1.737909,0.395597,0.028176,0.052385,0.437725,0.568136,0.65355,1.463152,0.72295,-0.744871,1,0,0,0,0,0,3
-0.482528,-1.94057,0.91539,0.093258,-0.175765,-0.965837,0.991551,0.06625,-0.254584,0.364573,-1.048931,-0.138705,0.697651,-0.631339,2.561485,-0.442789,-0.017815,0.031104,-0.779504,-0.835007,-0.023832,0.849082,1.185559,1.400395,0.398859,1.009769,-0.44088,-1.036096,0.013339,0.407571,-0.592714,-0.014207,0,0,0,1,0,0,3
-0.004436,-0.90108,0.805984,0.430976,-1.257509,-0.095941,0.988842,-2.848856,-0.433023,0.273003,-0.850107,-0.103059,0.752029,-0.25173,1.884535,0.914198,0.198007,0.576925,-0.595366,-0.934381,1.016996,0.650804,-0.853803,-0.390282,-1.410798,1.445145,-0.317279,0.703607,-0.488008,-0.953914,-0.202198,-0.577278,1,0,0,0,0,0,3
-0.611744,0.772859,-1.50724,0.214356,-0.305336,0.630203,-1.514991,-0.216009,-0.165635,1.414302,0.033254,0.477226,1.049658,0.792006,-0.631929,0.016448,0.345448,-0.618099,0.143927,-2.002637,0.621735,0.517719,-0.619073,0.071774,-0.064793,0.22497,-0.114858,0.865106,-0.128098,0.376962,-0.498375,-0.57111,0,0,1,0,0,0,3
0.341491,-0.360098,-0.97263,0.570771,0.621275,-0.366707,-1.096243,-0.58041,0.359402,1.506931,-1.673587,-0.564982,0.469262,-0.457436,-1.986546,-0.628213,0.389759,-1.03357,1.18873,0.586714,-0.644234,0.455428,-0.860424,0.191663,-0.163172,0.412268,-0.963793,0.83368,-1.371775,1.836445,-1.006581,-0.533815,1,0,0,0,0,0,3
-0.128015,0.43319,-0.918662,0.110316,-1.129789,-0.694615,1.341578,0.48736,0.28614,0.602187,-1.491283,-0.227099,1.792898,0.378972,-0.598846,0.465991,-1.429144,0.062429,-0.173319,-0.059536,-0.136912,0.443342,-1.671771,0.45311,-1.534743,-0.803628,-0.347563,0.165533,-1.556749,0.903036,-0.271428,0.439212,0,0,0,0,0,1,4
-0.92613,-0.38976,-0.820252,-1.117598,-1.708748,0.569369,0.055134,0.895586,-1.227323,0.352905,-0.951146,-0.338227,1.749315,-0.894044,-1.729302,-0.554015,0.99366,0.55648,0.151254,-0.139407,-0.474823,0.350021,-0.299951,-0.790828,-1.019264,0.985329,2.058705,0.166936,-0.558386,-0.109601,0.358467,-0.508015,0,0,0,0,0,1,4
