@relation ICATransformed

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute Cluster0 numeric
@attribute Cluster1 numeric
@attribute Cluster2 numeric
@attribute Cluster3 numeric
@attribute Cluster4 numeric
@attribute Cluster5 numeric
@attribute output {1,2,3,4,5,7}

@data
0.45092,0.108489,0.055026,0.767648,0.400483,-0.244527,-0.150262,-1.035095,1.133829,1,0,0,0,0,0,3
-0.188189,-0.194794,1.14249,0.063804,-0.440731,0.145201,-0.407429,0.391738,0.033431,0,0,0,0,0,1,3
-0.065295,0.028963,-0.057128,0.370802,0.523874,-0.395009,-0.259914,0.646059,-0.024915,0,0,0,0,1,0,3
-0.870325,-0.572872,0.320098,-0.020554,-0.54845,-0.230903,-0.614836,-0.051384,0.027278,1,0,0,0,0,0,3
-0.234437,-0.005264,-1.394597,0.393256,-0.520155,-0.909199,-0.363794,0.763566,-0.511416,0,0,0,0,1,0,3
-0.747829,-0.192884,-0.74961,-0.115278,-0.406278,-0.921755,-0.774267,-1.34445,0.433914,1,0,0,0,0,0,3
-0.353875,-0.710067,0.222685,-0.167705,-1.023955,0.592396,-0.542688,0.089343,0.399919,1,0,0,0,0,0,3
0.307516,0.379436,-0.800397,0.740809,0.417257,-0.322358,-0.268564,0.546122,-0.409784,0,0,0,0,1,0,3
-0.421438,-0.158472,-0.103224,0.807001,-0.844763,-0.591457,-0.36784,0.411409,-0.160254,1,0,0,0,0,0,4
-0.658973,0.604469,-0.573997,0.244355,0.670236,-0.740536,-0.508797,-0.128879,0.011623,0,0,0,0,1,0,4
0.15578,-0.556467,-1.197649,-0.709895,0.034459,-0.09186,-0.485445,0.377623,0.16685,1,0,0,0,0,0,4
0.257313,-1.121399,-0.357353,-0.62003,-0.370202,0.875961,-0.611046,-0.005716,0.81368,1,0,0,0,0,0,4
-0.421735,0.023788,0.639909,0.66853,-0.414317,0.156499,-0.539008,-0.103143,-0.53365,0,0,0,0,0,1,4
