@relation PCATransformed

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute Cluster0 numeric
@attribute Cluster1 numeric
@attribute Cluster2 numeric
@attribute Cluster3 numeric
@attribute Cluster4 numeric
@attribute Cluster5 numeric
@attribute output {1,2,3,4,5,7}

@data
-122.712561,18.972437,20.811249,-29.972942,10.280527,0,0,0,1,0,0,3
-86.424662,-4.162781,13.775823,-20.251829,4.277133,0,0,0,1,0,0,3
-67.169902,-14.368329,14.443068,-6.469165,1.483873,0,0,0,1,0,0,3
-59.132323,-18.5584,12.588768,-5.942113,2.698272,0,0,0,1,0,0,3
-60.902361,-12.81017,7.511747,-10.048723,1.090654,0,0,0,1,0,0,3
-66.232547,-5.45443,-1.587343,-13.829687,-0.741264,0,0,0,1,0,0,3
-78.441822,3.298361,-3.243921,-3.408728,4.870592,0,0,0,1,0,0,3
-64.742067,-7.349212,1.882751,-0.781912,7.495509,0,0,0,1,0,0,3
-30.791916,-28.975032,3.776139,6.971181,-2.214416,1,0,0,0,0,0,4
-28.020698,-33.583171,4.307689,8.642177,-2.180016,1,0,0,0,0,0,4
-23.421535,-34.140588,6.672222,7.104381,-0.327831,1,0,0,0,0,0,4
-9.385437,-43.457056,0.982382,5.837224,4.274366,1,0,0,0,0,0,4
-2.613893,-47.105109,1.114949,17.67299,3.391982,1,0,0,0,0,0,4
13.990639,-52.83606,-1.312343,21.240813,1.05171,1,0,0,0,0,0,4
20.363947,-55.756255,-1.848354,13.732452,-0.593061,1,0,0,0,0,0,4
17.972636,-48.546943,-3.946141,19.275508,-4.503757,1,0,0,0,0,0,4
6.798499,-35.350572,-3.648957,23.335787,-11.325728,1,0,0,0,0,0,4
-12.70324,-19.460406,-1.482659,22.125607,-18.760317,1,0,0,0,0,0,4
-75.55899,6.803637,10.769786,2.761944,-4.38168,0,0,0,1,0,0,3
-100.471979,8.516141,17.640529,6.590872,0.731848,0,0,0,1,0,0,3
-73.470164,3.754517,21.922892,-1.558925,3.783028,0,0,0,1,0,0,3
-81.800166,7.18717,20.326075,1.906121,-4.684269,0,0,0,1,0,0,3
-99.336976,10.258689,17.593182,5.774225,-11.886109,0,0,0,1,0,0,3
-116.966094,19.968456,18.631479,2.387175,-1.475167,0,0,0,1,0,0,3
-97.278446,9.598519,24.634558,-9.97383,7.959082,0,0,0,1,0,0,3
-100.460347,11.164216,24.1434,-4.557706,4.15955,0,0,0,1,0,0,3
-103.902088,12.492837,20.273888,1.190302,0.854384,0,0,0,1,0,0,3
-105.752272,12.827957,18.564487,6.173601,-2.699062,0,0,0,1,0,0,3
-105.929169,11.233136,17.939813,9.381164,-3.173794,0,0,0,1,0,0,3
-96.357788,4.789218,22.122519,1.7372,-3.403165,0,0,0,1,0,0,3
-92.178376,4.053394,22.30135,-1.272487,-3.362083,0,0,0,1,0,0,3
-88.588851,0.695396,20.71457,-14.45414,0.465425,0,0,0,1,0,0,3
-83.504244,-4.669393,20.402569,-11.115245,-0.298765,0,0,0,1,0,0,3
-71.58883,-8.765305,18.61893,0.64929,-0.915473,0,0,0,1,0,0,3
-72.304714,-8.142731,17.028347,11.30354,-6.571015,0,0,0,1,0,0,3
-72.830185,-10.129499,19.013279,17.058563,-8.815792,0,0,0,1,0,0,3
-79.522513,-5.065549,20.257662,10.649399,-5.965194,0,0,0,1,0,0,3
-88.145516,2.515686,16.097071,6.458659,0.929943,0,0,0,1,0,0,3
-82.567056,-0.974004,17.604808,10.019496,-3.000252,0,0,0,1,0,0,3
-78.20493,-4.625206,19.319542,9.728177,-2.233436,0,0,0,1,0,0,3
-72.787176,-9.218251,17.847953,10.224064,-0.239094,0,0,0,1,0,0,3
-55.880247,-15.19315,13.955126,4.948946,1.040185,0,0,0,1,0,0,3
-44.824352,-17.240418,13.81091,2.13075,0.762978,1,0,0,0,0,0,3
-0.647861,-15.57402,16.036209,-5.168804,10.708716,1,0,0,0,0,0,5
30.205565,-15.889843,12.684558,-15.344452,15.040596,0,0,0,0,1,0,5
-0.362313,-10.155927,7.522169,-20.957902,2.578518,1,0,0,0,0,0,5
-34.52019,-10.205287,12.521057,-7.526775,3.407517,1,0,0,0,0,0,7
9.993658,-50.545959,9.494918,16.643297,-3.829989,1,0,0,0,0,0,7
40.605924,-64.7413,7.961205,-2.457414,3.158816,0,0,0,0,0,1,7
47.751626,-61.616384,7.242083,-1.08324,-1.465932,0,0,0,0,0,1,7
80.700992,-45.589987,3.075565,4.491997,2.194723,0,0,0,0,0,1,5
107.432698,-44.890684,0.370701,-0.316732,4.68675,0,0,0,0,0,1,5
125.410817,-49.830252,1.352563,-0.275139,1.983345,0,0,0,0,0,1,5
135.521391,-54.846018,0.994193,5.962763,0.377024,0,0,0,0,0,1,5
-140.16101,31.714012,17.80753,-10.803023,2.063669,0,0,0,1,0,0,3
-116.441284,16.840091,15.744805,-37.933471,5.791059,0,0,0,1,0,0,3
-93.009311,2.667274,17.31479,-36.693678,8.461447,0,0,0,1,0,0,3
-75.892166,-6.333311,14.149136,-20.200848,4.178721,0,0,0,1,0,0,3
-66.516979,-7.910237,6.693408,-1.952143,1.720637,0,0,0,1,0,0,3
-76.68477,5.21527,-2.904078,12.596219,3.979611,0,0,0,1,0,0,3
-82.059135,7.087528,-3.711791,14.657163,0.860801,0,0,0,1,0,0,3
-82.200126,3.569292,-0.980635,11.041595,-0.22542,0,0,0,1,0,0,3
-67.536777,-7.472288,3.416228,6.682664,2.005697,0,0,0,1,0,0,3
-29.331467,-30.584788,6.525897,11.393667,-0.639833,1,0,0,0,0,0,4
-20.524288,-37.469065,5.985168,18.984436,-0.779518,1,0,0,0,0,0,4
-16.675909,-42.019748,7.02294,19.227208,1.243223,1,0,0,0,0,0,4
-14.405454,-41.420243,8.240688,16.429362,2.383952,1,0,0,0,0,0,4
-12.324747,-43.171739,7.501136,11.589938,2.961448,1,0,0,0,0,0,4
26.741173,-60.479186,-0.863992,-0.008225,1.438916,0,0,0,0,0,1,4
30.691923,-61.178833,-2.59817,1.521468,0.844206,0,0,0,0,0,1,4
34.156749,-49.432211,2.090999,0.653484,-13.553404,0,0,0,0,0,1,4
