@relation PCATransformed

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute Cluster0 numeric
@attribute Cluster1 numeric
@attribute Cluster2 numeric
@attribute Cluster3 numeric
@attribute Cluster4 numeric
@attribute Cluster5 numeric
@attribute output {1,2,3,4,5,7}

@data
-122.712561,18.972437,20.811249,-29.972942,10.280527,-40.214205,-2.813381,6.03526,-3.161318,-1.703115,-4.306451,-3.356938,-9.666215,-0.568723,-0.533857,-5.987588,-1.743283,-1.498452,-0.661217,-1.789498,0.46106,0.44815,2.094419,-4.566997,2.441084,-0.387343,1.369649,-1.516482,3.992461,0.614141,-4.271497,0.753609,0,0,0,1,0,0,3
-86.424662,-4.162781,13.775823,-20.251829,4.277133,-22.02253,-1.870635,17.528518,-4.355416,-5.857767,-2.915614,5.384701,-1.802347,-1.791593,-3.282074,2.852598,-1.766349,-0.748034,2.914383,0.729555,3.074158,0.062069,3.131311,-1.063322,-1.101521,0.864922,3.695505,0.732758,-3.556485,-1.824836,5.454461,-0.309883,0,0,0,1,0,0,3
-67.169902,-14.368329,14.443068,-6.469165,1.483873,-5.910083,0.129588,4.915454,1.008378,-2.565755,-0.948661,7.311408,-0.920015,-0.968837,0.959343,2.751842,-0.253148,1.169505,2.925196,-1.724129,1.492697,-2.906104,-0.172434,2.815201,-3.576746,1.249654,1.202551,0.275843,2.258587,-0.515673,-0.101847,1.495644,0,0,0,1,0,0,3
-59.132323,-18.5584,12.588768,-5.942113,2.698272,0.250342,0.436815,-4.089426,3.198257,2.485909,1.883342,3.690696,-0.624055,-3.209112,-1.81426,0.656296,-0.001208,-3.19974,-0.011671,-1.274375,0.73764,0.28409,-0.451387,-1.067452,1.505834,0.783978,-1.66311,0.082888,-0.999325,1.091808,-2.230488,1.069964,0,0,0,1,0,0,3
-60.902361,-12.81017,7.511747,-10.048723,1.090654,8.352051,1.296266,-3.25557,-2.558187,0.410487,5.018333,2.579821,-8.16873,0.423718,-5.291568,-1.872522,-3.352066,-0.995285,-4.001317,-4.351304,-3.859382,1.564281,0.216687,-0.090034,5.597494,-0.867321,-2.890801,-0.409807,0.129597,0.982855,-0.922946,0.040898,0,0,0,1,0,0,3
-66.232547,-5.45443,-1.587343,-13.829687,-0.741264,13.763772,2.974519,-1.209817,-4.066473,4.408701,8.494352,3.315516,0.412604,-2.569989,0.310353,-1.326598,-3.296777,-1.788124,-6.767616,-2.491983,3.136941,2.801882,4.085894,2.674852,2.728526,-1.549265,-1.590569,-0.885571,-2.153796,0.27815,0.512718,-1.620881,0,0,0,1,0,0,3
-78.441822,3.298361,-3.243921,-3.408728,4.870592,-5.376884,-5.516675,5.519647,-1.163738,15.974916,-1.390968,4.11695,-0.444461,-3.731534,-0.488561,4.071276,0.273007,0.189275,2.09102,0.960291,-0.135094,-1.083999,3.842905,1.193638,-1.645249,2.117324,-2.330908,0.278528,-3.962218,0.833121,-1.419571,3.385783,0,0,0,1,0,0,3
-64.742067,-7.349212,1.882751,-0.781912,7.495509,-17.060231,-2.338166,-1.794898,-1.672779,12.746093,-1.924198,-5.60401,-2.444143,-4.601769,-3.930797,1.806926,2.451468,3.882849,1.513618,2.772286,0.0196,-1.631009,0.881329,2.894816,-3.123033,2.935424,-2.715729,1.612969,2.516901,0.586703,-1.007251,-2.333305,0,0,0,1,0,0,3
-30.791916,-28.975032,3.776139,6.971181,-2.214416,0.167708,-2.664203,4.673957,-5.02623,6.938834,0.528024,2.662401,-4.567987,-7.46238,-4.733678,-2.150131,2.726371,-1.275108,-0.761901,0.255061,0.1896,0.754765,3.314347,0.930895,-0.245962,3.621439,0.144628,3.488224,1.964843,-0.838852,4.858344,3.006479,1,0,0,0,0,0,4
-28.020698,-33.583171,4.307689,8.642177,-2.180016,-4.052883,-2.253001,0.4116,-0.386976,8.378453,3.891507,2.730291,0.241839,-8.001638,1.158848,2.454003,4.526399,1.698603,0.966732,-2.216044,5.953554,-0.36764,1.96079,-1.09883,2.011039,-1.606528,-0.646617,1.584906,0.088784,-6.740582,-1.277656,-3.703736,1,0,0,0,0,0,4
